# {"t_start": 1590100672.9119437, "env_id": "metak-v0"} 
r,l,t
-6415.560515,5001,123.222153
-4739.604908,5001,244.708827
-21436.242638,5001,375.82236
-4798.173725,5001,500.59927
-8885.921689,5001,636.62321
-9356.777517,5001,767.73647
-5999.468729,5001,909.511981
-2783.674702,1766,951.519674
-7685.790601,5001,1099.080242
-4734.508688,1971,1157.161533
-1977.882341,1720,1208.398186
-6842.210305,5001,1351.118709
-5608.012705,1136,1387.790275
-1866.761538,1612,1430.1822
-12085.620037,5001,1585.026563
-5515.700696,5001,1734.582237
-12256.984973,5001,1893.668084
-10476.556637,1742,1948.931531
-3853.07764,2791,2036.340791
-11429.945917,5001,2193.888605
-1548.01216,1272,2237.175448
-2307.763905,1471,2285.649706
-671.247499,716,2306.374149
-4193.234004,2777,2402.344762
-1414.779691,1077,2435.20023
-1202.798738,1042,2475.897609
-1363.907565,1190,2514.088625
-12142.457979,4576,2673.437342
-1232.082911,1093,2718.270051
-2845.111624,1235,2758.895942
-5286.139044,1362,2810.617105
-802.579697,931,2848.44595
-4602.09095,1221,2887.676178
-2205.736454,1045,2929.726995
-9864.598366,5001,3110.833096
-5248.096632,5001,3306.001496
-1910.384943,1045,3343.92485
-2669.713196,1023,3388.046434
-1058.029097,1036,3424.90397
-2604.809025,924,3464.902122
-545.14372,540,3485.431435
-10272.116403,5001,3684.583047
-8561.920014,5001,3896.944258
-5327.309665,3732,4058.882647
-9268.229021,5001,4277.425109
-2226.696889,900,4313.830018
-9668.637618,3468,4464.56445
-5800.171343,5001,4700.817335
-2089.390299,1200,4755.345035
-6054.482232,5001,5013.714573
-5812.937222,5001,5279.835804
-1845.064346,845,5320.63785
-9020.802839,5001,5595.130433
-2243.007461,878,5640.867777
-13732.646817,2533,5790.241564
-760.722656,625,5824.992752
-1204.151153,993,5880.568045
-815.862817,744,5931.440772
-971.509888,915,5981.508334
-4690.239104,5001,6289.381246
-1101.749442,902,6343.79693
-1145.489002,656,6382.783576
-1739.236135,1397,6475.419861
-1719.089247,828,6526.425786
-5045.094118,5001,6867.876237
-7058.535259,4924,7218.697148
-714.605956,645,7271.295825
-1862.194126,907,7334.261683
-4552.962501,1088,7419.935848
-1023.777699,775,7476.456036
-1344.136214,912,7542.704361
-493.219008,492,7586.286817
-3065.865734,1009,7660.450959
-1386.872018,1017,7743.950827
-8751.616821,5001,8150.777722
-2734.529315,1684,8300.126757
-691.071568,700,8360.110931
-3501.33366,1925,8537.235581
-747.886905,640,8594.759146
-800.614749,723,8667.680258
-2330.233841,1705,8832.586101
-4735.974691,2155,9041.42828
-1135.260964,852,9123.81494
-474.014898,540,9176.207731
-1134.404889,688,9251.589663
-837.817256,560,9307.347779
-1567.29385,568,9364.357363
-647.541406,519,9423.521615
-1626.924682,707,9495.617334
-2315.161588,795,9576.848698
-1048.172181,780,9665.497043
-960.017943,685,9737.221966
-992.437393,776,9820.576318
-916.106599,881,9923.267224
-850.566551,600,9989.275269
-3620.60582,881,10094.482521
-2284.413275,719,10175.863128
-3487.685119,720,10258.404341
-979.051308,758,10352.734356
-1815.863122,901,10457.669773
-555.312027,584,10526.673627
-4837.573559,5001,11169.922051
-3496.974356,756,11267.426686
-5230.392594,5001,11961.313895
-1630.832319,684,12057.968899
-627.271032,608,12144.387867
-3461.429816,2458,12510.676595
-1590.556943,835,12643.39778
-519.403124,567,12729.229294
-525.746259,446,12797.755481
-625.539958,458,12874.848041
-596.200794,582,12965.995169
-4425.098092,715,13079.006456
-363.481094,391,13141.217292
-2196.559565,688,13258.399728
-1883.941604,601,13355.706742
-843.76441,653,13462.274149
-753.348341,546,13559.66137
-3824.714951,1032,13731.674794
-1043.165056,569,13827.561491
-600.707791,662,13947.448417
-1223.666661,825,14089.318738
-515.990477,637,14200.436983
-1582.576912,759,14341.831697
-6288.266821,2308,14764.378588
-1558.766186,793,14910.611913
-712.866361,712,15050.365631
-605.07954,622,15167.418847
-569.294831,466,15255.157954
-14030.841353,5001,16264.04904
-2100.753101,1477,16570.259017
-2591.251042,961,16780.688246
-1623.5744,1126,17021.761877
