# {"t_start": 1590100676.0199027, "env_id": "metak-v0"} 
r,l,t
-8668.47527,5001,120.133503
-5451.359255,5001,241.610972
-12718.45824,5001,372.731003
-6397.6145,5001,497.504185
-9696.082858,5001,633.531187
-5673.745891,5001,764.640263
-14626.686635,5001,906.415419
-7377.358092,2303,970.419598
-5538.256831,5001,1110.406981
-7378.956153,3643,1217.139599
-18144.930335,5001,1359.733415
-5845.208066,5001,1513.984038
-1502.23968,1340,1549.276047
-2700.438834,1241,1589.947887
-9453.681485,5001,1747.473007
-2790.738592,1146,1778.724183
-1579.364163,1451,1825.296911
-5120.076446,5001,1978.954179
-822.658777,970,2014.883276
-2276.660895,1637,2069.297298
-6210.429546,5001,2225.922629
-8789.024514,5001,2383.309072
-1452.812305,967,2420.916082
-1259.25195,1072,2454.974656
-1687.968574,843,2488.846259
-1885.458116,1210,2528.207321
-14360.910174,5001,2710.792421
-1871.601119,1468,2767.812515
-11169.888571,5001,2944.452248
-966.239912,877,2972.177028
-5504.266832,3670,3111.299367
-1439.618259,1053,3154.462079
-5546.178313,5001,3344.590428
-7587.062203,5001,3546.783064
-2917.543448,1003,3583.525809
-1460.18367,806,3612.898462
-831.128061,793,3650.241901
-9958.278244,5001,3854.457083
-6131.934303,2684,3974.538642
-1728.733796,1239,4023.047652
-995.072527,883,4065.817171
-447.186288,643,4091.150012
-1193.06129,733,4120.01423
-1631.189047,1421,4185.9634
-1091.879943,811,4219.200597
-9328.878852,5001,4442.114941
-784.478291,792,4473.075827
-3182.809911,1466,4541.160791
-6216.635711,5001,4777.65058
-3776.727503,5001,5037.50347
-1070.410171,748,5074.780595
-648.131618,566,5102.008239
-1078.271598,995,5160.203026
-3826.792627,994,5210.598011
-13599.429897,5001,5483.841048
-7919.869447,5001,5757.169068
-14052.585306,5001,6061.079412
-685.864927,1230,6129.930229
-4630.383062,1093,6201.980969
-762.597853,762,6245.943217
-1432.888072,854,6302.429152
-2436.37215,948,6359.267642
-2176.696915,2414,6514.081503
-1148.433481,697,6565.219683
-437.026045,508,6596.804981
-4290.856334,4479,6899.726233
-882.243394,704,6945.536811
-7487.82234,5001,7314.236458
-5023.925776,2355,7490.951437
-3672.838315,2495,7681.437756
-7455.902304,5001,8090.933145
-1675.699077,1664,8236.41339
-2439.36067,644,8291.313382
-20065.791394,5001,8751.284652
-6899.633803,5001,9249.29123
-16337.043174,5001,9775.986964
-7592.947826,5001,10356.810368
-5399.6484,1001,10473.928336
-751.210888,725,10560.342628
-2516.241484,920,10678.562754
-766.359707,712,10765.845399
-1947.711765,908,10885.331675
-345.671674,418,10937.637725
-1923.232548,598,11013.164392
-1174.985391,823,11125.843731
-3950.524338,681,11213.814609
-736.585647,611,11292.382311
-8769.138616,5001,11988.071885
-733.680198,770,12097.999793
-5452.189565,5001,12853.918046
-1145.731233,965,13012.30464
-1165.006265,838,13145.356243
-1098.855054,712,13266.46961
-1875.270013,812,13398.5589
-1732.069843,1225,13606.976847
-835.397667,745,13732.034054
-591.030046,526,13820.580975
-518.660433,475,13908.293095
-5142.060797,4809,14774.446077
-1239.757332,818,14925.255496
-762.512295,568,15038.238528
-1521.746467,976,15221.618138
-1985.29741,788,15371.503064
-517.928115,482,15471.684558
-2148.375434,1312,15727.241931
-2837.388432,905,15914.69914
-1922.805876,584,16032.044083
-6896.276146,940,16230.087316
-1627.326229,1034,16443.023963
-656.523619,497,16546.539741
-742.522532,745,16711.183292
-3952.912094,658,16850.918636
-631.75563,746,17010.992181
-1399.193386,480,17122.115069
-3340.858589,1186,17382.481037
-1149.884312,619,17520.372037
-702.529885,684,17681.829646
-1043.172155,812,17866.985332
-1795.695378,771,18052.580663
-705.34002,706,18218.799309
-893.706359,802,18408.150769
-935.174385,504,18535.148917
-750.071783,697,18702.759608
-17494.981775,5001,19982.069762
-3823.009179,2144,20563.689255
-1055.754536,901,20818.827926
-890.834716,622,20991.968976
-318.458111,380,21097.983589
-1395.351716,854,21345.711963
-392.07329,458,21476.066919
-4327.875279,2594,22239.210007
-678.751696,602,22419.288574
-2201.84256,680,22632.727479
-794.014118,596,22814.128651
-9690.862569,2497,23595.946306
-4991.144612,1477,24071.501792
-1731.257417,1702,24631.488072
-809.347925,448,24779.703578
-15582.515582,5001,26507.90043
-3879.582702,3286,27688.162717
-1556.160868,1322,28179.892551
-810.66059,692,28435.033739
-338.979563,431,28596.307194
-1918.314058,642,28845.67198
-758.219898,789,29144.96992
-3693.4219,982,29529.42563
-300.463983,403,29684.924223
-1892.543638,756,29978.866048
-8861.092238,835,30307.277377
-700.227162,487,30507.999086
-383.349096,449,30686.610701
-5933.489317,2366,31652.845135
-5904.942568,4688,33641.978596
-3004.95833,1087,34123.680632
-572.702691,505,34345.954118
