# {"t_start": 1590100671.6412652, "env_id": "metak-v0"} 
r,l,t
-5225.836721,5001,124.49147
-9585.14596,5001,245.979094
-6823.205267,5001,377.090446
-14642.204733,5001,501.869778
-9908.8174,5001,637.891534
-6647.778257,5001,769.006168
-7310.143706,5001,910.781004
-1467.003556,1493,945.762177
-6434.871673,5001,1093.133092
-7830.352851,5001,1235.632264
-17633.298663,5001,1386.242175
-8592.281594,1381,1423.160013
-7290.280754,5001,1577.356574
-6919.6847,5001,1727.064421
-11304.510397,5001,1886.163769
-7855.059674,5001,2041.938124
-2138.829774,1141,2081.776648
-4885.007859,3612,2191.938404
-16011.51534,5001,2356.100701
-2362.654715,1223,2391.015863
-5315.041829,1194,2436.240651
-3255.305512,2506,2524.020114
-23716.182552,5001,2705.819331
-3790.859327,3469,2827.180871
-5870.906403,1397,2879.668138
-1363.606348,1029,2921.174254
-7416.305545,4885,3098.170501
-2881.657506,1533,3157.814793
-7561.432908,5001,3347.91651
-8644.224658,5001,3549.96825
-696.404986,829,3579.988969
-1250.901244,928,3614.41485
-368.842385,519,3642.188469
-4490.655489,2263,3735.33068
-9839.282434,5001,3940.387783
-7353.070231,5001,4161.677311
-5331.448051,5001,4381.147262
-7425.292166,5001,4607.385615
-522.929005,699,4637.630275
-6101.987845,5001,4879.966064
-4097.059705,1052,4937.055959
-2552.146267,1030,4986.483957
-4014.809872,1213,5054.121845
-1189.155344,951,5100.092695
-1653.180815,974,5157.295336
-1575.504801,964,5205.479048
-1979.779842,922,5260.555294
-909.993303,842,5302.354313
-12099.657755,5001,5575.112257
-9427.397435,3069,5743.559051
-5913.813753,717,5789.616828
-1943.125461,1136,5853.695713
-2707.440925,810,5898.348454
-950.332607,660,5944.384752
-398.42972,446,5969.262521
-2078.477613,1074,6037.142191
-7135.356322,5001,6339.977537
-2781.437994,833,6389.839045
-4158.19643,5001,6724.01995
-760.958471,791,6774.822799
-2045.657926,743,6830.45325
-3114.737737,3242,7055.715399
-864.432956,685,7109.437141
-2198.424776,922,7173.253072
-1129.993384,658,7218.715399
-1337.270813,989,7295.127785
-598.165447,633,7339.371564
-720.616822,666,7387.055346
-4299.651831,2435,7579.063419
-4955.720244,5001,7971.990798
-2359.57293,935,8047.228318
-14859.436583,5001,8493.227688
-6373.37705,5001,8965.583115
-1501.29286,986,9066.924049
-8258.384084,5001,9580.459206
-2286.09967,767,9668.104647
-1025.127785,734,9744.930172
-1819.131432,1233,9884.824991
-861.653087,849,9978.247293
-1264.268295,962,10092.030025
-10936.88108,1047,10210.653815
-761.031691,624,10282.098098
-894.753772,680,10367.864055
-850.199737,811,10462.364474
-1490.124752,630,10536.759021
-809.900242,575,10614.200594
-604.959436,620,10688.98648
-1047.63811,623,10765.232691
-5573.53199,1028,10899.47391
-988.156386,740,10992.813545
-7043.985286,5001,11666.733316
-4777.6898,2512,12021.125237
-1460.883346,563,12101.439896
-989.014685,690,12200.346577
-1167.478904,872,12334.773226
-984.438947,538,12413.629003
-605.901314,585,12499.723154
-1333.933378,825,12630.404353
-4377.092137,2409,13007.864603
-8678.062449,5001,13840.076328
-4516.506967,3022,14379.988656
-1561.26259,1013,14561.008661
-675.009504,742,14702.396837
-1220.007966,816,14851.89875
-991.921303,844,15015.797537
-4256.71514,757,15158.109384
-914.687329,550,15261.607861
-775.757735,746,15411.366466
-663.48071,570,15521.282873
-769.572971,641,15646.410922
-7095.046213,4048,16478.311602
-1593.688132,765,16639.007586
-2941.717619,984,16854.568287
-2262.405549,701,17005.024854
-1477.945783,793,17184.292362
-1389.843873,1441,17502.011807
-10782.132336,5001,18689.34946
-292.023655,369,18779.316156
-1689.671932,688,18947.584109
-1354.049115,1036,19212.224255
-2289.034782,949,19451.577537
-481.6773,539,19597.392955
-777.531282,501,19726.802309
-524.052335,560,19872.361517
-1260.478834,768,20074.892046
-639.399099,661,20258.201872
-558.721907,577,20412.87334
-5183.336867,3095,21284.092755
-732.246661,698,21482.281088
-2202.013926,1010,21772.343215
-5524.488506,5001,23302.183549
-1111.940852,747,23536.022001
-884.973345,809,23798.340569
-632.097692,505,23958.843793
-684.832014,612,24154.462839
-324.677601,362,24271.427124
-997.28288,535,24451.908102
-601.93448,549,24632.062896
-583.863582,467,24786.565967
-527.511713,465,24940.777507
-506.95485,433,25092.933086
-1942.372531,880,25388.773366
-2023.654648,929,25704.612552
-246.596312,309,25817.682822
-1090.380474,611,26028.268015
-2070.222306,1191,26443.2172
-14929.51792,5001,28264.346584
-1006.093247,592,28483.281513
-6122.200701,1883,29202.202201
-1544.320763,867,29542.777695
-8684.407702,5001,31545.890158
-502.383919,423,31719.552949
-1231.853318,817,32064.176744
-733.588909,505,32274.19534
-2799.923478,1013,32699.043459
-516.370977,549,32939.159521
-2239.425238,639,33211.087254
-1109.402331,604,33469.957704
-1659.000251,663,33764.088809
-921.577292,581,34017.39766
-714.251625,653,34304.282898
-296.369187,362,34464.546282
