# {"t_start": 1590100675.7787328, "env_id": "metak-v0"} 
r,l,t
-13888.413382,5001,120.369747
-10272.049348,5001,241.853089
-16579.313003,3704,336.390302
-11120.392583,5001,468.840728
-6758.914303,5001,596.103548
-845.943686,1010,626.861798
-14535.779748,5001,758.055988
-6881.478224,4102,870.638118
-16107.926091,5001,1007.366523
-4689.544564,1978,1063.342994
-6246.605426,5001,1213.633695
-5970.159238,5001,1356.401408
-5518.222791,5001,1509.93814
-5804.377092,5001,1658.570162
-4096.147594,3445,1767.023424
-1249.137368,1584,1817.121769
-9995.473771,5001,1970.451193
-7537.698795,4839,2124.231341
-1170.572017,1063,2162.249702
-6061.336246,5001,2319.387146
-13295.206921,5001,2493.475101
-1863.348867,966,2524.499779
-15724.813921,5001,2706.332006
-15055.155309,5001,2884.484312
-7176.93946,2918,2994.49571
-1363.175472,1213,3033.976353
-11594.463651,5001,3227.139323
-7582.606961,5001,3421.043819
-7883.714249,5001,3625.473486
-1221.050449,1266,3672.728898
-1486.94929,973,3717.559982
-489.397826,555,3739.050097
-1197.451716,862,3771.52115
-6435.986405,4538,3968.399684
-7806.46605,5001,4182.85285
-741.16307,579,4206.480101
-1721.912416,1089,4259.212771
-2111.402409,781,4291.818964
-4672.480423,5001,4512.106744
-3495.509882,1132,4560.759696
-4125.73936,1202,4620.624762
-1726.859173,1052,4665.457288
-1223.169935,943,4715.188326
-628.616595,668,4745.158406
-906.350469,872,4785.487965
-936.151393,818,4832.310995
-1768.8525,934,4875.033199
-2467.844738,783,4919.385246
-2727.504258,1958,5021.684797
-1038.682486,797,5060.906884
-943.801939,625,5091.159742
-3259.733619,1779,5187.981821
-1952.128285,1000,5247.093326
-2998.91015,762,5285.694378
-749.766517,755,5321.93418
-1768.136695,1155,5389.958063
-9250.539325,5001,5657.206341
-7697.501921,5001,5954.843309
-7023.026057,3170,6139.610992
-1014.254169,562,6180.562603
-5496.851671,5001,6493.310443
-2087.755775,1161,6573.321364
-782.890214,656,6614.683189
-859.096227,811,6665.238098
-1313.273691,763,6721.931523
-1699.366795,637,6762.26903
-1002.50057,710,6815.699139
-749.091738,601,6855.091791
-1309.782769,783,6906.390113
-1947.184861,968,6979.812768
-14788.364555,5001,7339.888162
-955.078698,635,7385.309236
-1399.964283,822,7452.592391
-784.317799,806,7510.440549
-1163.668899,759,7573.555101
-424.974763,481,7609.600997
-570.921167,483,7644.707822
-680.015669,649,7692.468263
-770.36335,752,7757.129398
-5745.315,5001,8166.047429
-1707.560721,939,8251.582392
-2373.488548,730,8314.062435
-478.887327,539,8360.224385
-616.460811,558,8416.624822
-5360.10946,1938,8588.59996
-920.442183,845,8673.145207
-5715.664275,813,8747.403462
-489.00357,472,8797.976902
-1196.907037,762,8869.320327
-1260.578316,783,8942.137273
-2251.566478,977,9041.812114
-6904.183871,3623,9413.547669
-3090.296624,1556,9572.331727
-884.051314,655,9647.857574
-3469.557318,1129,9766.447158
-1744.522614,915,9872.768156
-1958.270652,802,9960.724823
-782.138127,539,10019.915286
-5904.270959,5001,10620.638896
-1869.900692,924,10732.865287
-1724.658221,764,10834.835679
-2039.316534,982,10956.950778
-9318.698591,3811,11463.354892
-1260.813772,823,11572.531437
-955.888896,544,11652.504286
-4699.00252,5001,12372.837662
-1436.198069,1005,12521.162077
-3756.493438,884,12660.648735
-3964.996945,698,12767.259376
-639.463239,563,12853.198041
-3572.444125,969,13012.176086
-1561.577563,841,13145.81448
-3653.262833,1271,13357.665606
-2011.097658,977,13517.60696
-559.045015,535,13612.985037
-1887.481898,881,13761.116146
-608.822153,548,13853.451089
-464.148158,414,13931.238588
-2893.293006,1687,14223.637126
-788.821718,803,14373.279886
-1430.52014,847,14524.265196
-13237.854845,4613,15402.800298
-938.534497,973,15590.949288
-959.966852,828,15753.52509
-2686.731945,920,15943.851832
-1067.371544,613,16067.606138
-3790.073812,1375,16355.28703
-395.253768,303,16417.934553
-589.881408,562,16535.029064
-664.142245,540,16656.094513
-393.022343,437,16748.586249
-2222.918957,887,16937.727606
-2498.486927,900,17139.422821
-1173.274268,733,17299.723965
-4259.081107,1970,17748.594019
-1044.57413,692,17907.086572
-6335.567584,2473,18495.41845
-451.888431,495,18621.303521
-2926.104545,1636,19020.839589
-882.816726,855,19241.249083
-1636.085625,1202,19553.458734
-4464.612048,964,19802.567394
-3383.67273,1680,20254.189892
-3031.209664,1205,20579.507575
-1005.269326,583,20747.08141
-398.335782,452,20872.265079
-2369.082176,951,21137.416307
-721.863153,514,21289.480946
-911.296522,786,21512.683887
-4595.137761,1136,21847.380834
-1005.123574,794,22080.232286
-2414.297545,684,22283.597033
-60247.85192,5001,23848.299025
-563.954539,957,24153.383815
-4719.106284,802,24419.827096
-507.22126,536,24595.395096
-750.852203,545,24775.653894
-511.526418,429,24917.748264
-990.18989,803,25194.04759
-500.577423,479,25355.117846
-1690.688048,632,25569.47329
-4115.802352,769,25839.427521
-1075.011969,845,26131.501351
-774.602784,608,26343.212639
-519.623479,496,26524.699694
-2907.799377,888,26837.81894
-1067.815528,708,27089.140321
-859.259367,664,27334.379606
-663.440826,647,27567.884428
-1054.858105,793,27856.790653
-2195.567358,1043,28247.192652
-987.837412,520,28439.083426
-800.106136,742,28717.149111
-798.274466,725,28998.720027
-1706.059205,540,29204.424748
-11689.587461,2492,30177.928236
-2372.203697,953,30562.51002
-6184.223994,2523,31589.695255
-1253.170832,400,31753.887155
-940.631306,796,32089.938102
-6953.134214,5001,34241.327231
