# {"t_start": 1590078253.928686, "env_id": "metak-v0"} 
r,l,t
-4699.560587,5001,119.923007
-7761.777224,5001,241.935728
-10299.357222,3990,343.806576
-9488.865265,5001,478.243445
-13315.648195,5001,605.668669
-8216.463569,5001,739.557419
-11418.851103,5001,869.40369
-14110.628849,5001,1008.756642
-13161.176891,4764,1137.896314
-8435.963502,5001,1273.542464
-6379.03385,5001,1420.515178
-8142.262742,5001,1560.702249
-8933.715285,5001,1711.150521
-5867.792155,5001,1854.961559
-2431.65306,1904,1912.097166
-8485.016045,5001,2060.473246
-12352.10928,5001,2218.326199
-29847.194776,5001,2369.617283
-7708.88059,5001,2535.43244
-6540.913259,5001,2692.452012
-5474.066134,5001,2858.566864
-5155.067921,5001,3021.115824
-6297.720505,5001,3191.284393
-11068.361639,5001,3356.840057
-9085.90445,4175,3499.275264
-5484.780374,5001,3670.549409
-1419.085944,1143,3713.920238
-4696.954686,888,3742.616763
-5661.204102,5001,3923.921232
-13268.762627,5001,4101.529793
-4591.82845,5001,4290.756
-8521.210477,5001,4474.093722
-8551.491143,5001,4670.231978
