# {"t_start": 1589758025.501576, "env_id": "metak-v0"} 
r,l,t
-5010.837277,5001,116.857987
-3886.261196,5001,228.981223
-4827.808319,5001,348.736384
-4620.828701,5001,463.08569
-4382.685266,5001,585.534889
-3954.51572,5001,701.148397
-4049.461155,5001,824.448332
-3823.380477,5001,941.407566
-5901.772848,5001,1059.781776
-5501.637952,5001,1186.08339
-3827.226904,5001,1305.609559
-3589.180137,5001,1433.090491
-3491.490925,5001,1553.830093
-4959.111963,5001,1683.335825
-4021.181916,5001,1805.646516
-5471.647367,5001,1936.596769
-4624.799196,5001,2060.849854
-6330.813993,5001,2185.219221
-5761.158793,5001,2317.917321
-6558.127823,5001,2442.710587
-5341.728255,5001,2575.738355
-6596.921757,5001,2700.851093
-4727.445258,5001,2834.537685
-4090.033567,5001,2960.866363
-4017.420266,5001,3095.450054
-5528.862948,5001,3222.69331
-4958.566536,5001,3354.849022
-5312.778144,5001,3493.265147
-5702.421627,5001,3621.461153
-5167.156757,5001,3757.444499
-6552.777349,5001,3886.804769
