# {"t_start": 1590091497.7372794, "env_id": "metak-v0"} 
r,l,t
-5936.065702,5001,121.593304
-14255.288203,5001,244.019476
-50278.031282,5001,379.037507
-7226.009673,5001,508.200133
-4678.786869,5001,648.05923
-7404.322964,5001,782.356519
-6551.719086,4239,902.08546
-12750.627785,5001,1050.495471
-51936.394289,5001,1193.869819
-12803.699155,5001,1345.499579
-23262.580169,5001,1491.931415
-5972.711072,5001,1643.136404
-2139.286566,1211,1684.700282
-719.889946,813,1707.014224
-13594.164292,5001,1870.543231
-5399.09952,5001,2025.678264
-4576.338015,5001,2195.751102
-1600.379211,1217,2233.158299
-559.849454,706,2261.801521
-1208.942656,1089,2295.103804
-15018.09646,5001,2479.811639
-3687.02447,1440,2528.826332
-2029.728978,1183,2578.287473
-2586.39125,1088,2614.937449
-4566.144547,1106,2661.997599
-5832.9398,1543,2725.205626
-1670.842203,1083,2764.810217
-3336.805833,928,2805.939336
-1916.125171,1209,2848.337055
-2012.279811,1210,2899.675932
-799.801107,887,2930.818087
-8835.978809,5001,3134.16216
-8552.282929,5001,3329.943082
-6586.624177,3248,3463.850837
-933.514903,877,3497.046993
-645.291743,729,3530.589573
-2194.492418,990,3569.052608
-2229.300642,884,3612.08188
-7392.701776,5001,3826.394773
-1271.618944,971,3865.733657
-589.145164,664,3901.353179
-648.430153,720,3931.534912
-1172.283277,833,3974.814215
-1091.127659,755,4006.700669
-1625.839729,1258,4068.209187
-2492.820618,780,4101.99106
-856.163117,768,4133.598352
-14395.613511,5001,4372.712152
-3331.596596,1206,4428.235388
-504.916464,657,4465.457962
-1106.298291,857,4505.310997
-1215.255413,776,4540.977735
-1462.223234,1154,4602.502112
-8973.231894,5001,4848.73993
-3848.196581,1348,4921.664502
-1066.025663,1019,4979.408339
-1195.319435,928,5026.150334
-1814.280235,1280,5100.540283
-8789.033231,4660,5361.180851
-1294.007369,815,5405.347304
-3966.613313,2646,5573.116268
-9064.798622,1098,5636.29512
-638.452311,646,5674.15523
-1221.461719,678,5721.748176
-814.37317,809,5769.122542
