# {"t_start": 1590091495.2321754, "env_id": "metak-v0"} 
r,l,t
-7591.78993,5001,124.090679
-4442.857694,3798,220.714953
-6847.743193,5001,346.485986
-2513.391965,2551,410.876137
-7301.843853,5001,548.913595
-10082.03869,5001,681.498981
-5316.862084,5001,825.146632
-13672.032775,5001,963.798304
-13718.149371,5001,1113.988565
-6665.456122,5001,1257.986774
-5402.321932,5001,1409.988254
-1813.642365,1616,1452.964215
-2826.055749,1848,1509.801483
-6029.757847,5001,1669.673044
-7696.249724,5001,1824.0616
-6208.984635,3473,1937.474809
-1602.085764,1129,1968.575179
-2917.993503,1092,2006.476688
-8487.288055,5001,2167.595161
-1167.450508,986,2205.248086
-1430.989053,913,2233.22573
-7655.166724,5001,2412.68134
-1312.054991,805,2439.453452
-2960.289517,1140,2485.103704
-4396.719875,1384,2532.023914
-1175.341877,1115,2578.676603
-4136.384417,1316,2632.216264
-2961.063415,2573,2731.508238
-868.196683,748,2758.79633
-1340.493272,1237,2811.532106
-3792.130469,995,2846.288844
-776.040878,839,2883.215114
-2611.928689,952,2918.083745
-3730.52918,3380,3054.234065
-1488.722356,1349,3102.578645
-1989.033211,1085,3149.4805
-675.557399,704,3175.377393
-4292.501198,1092,3222.31474
-2890.463244,1726,3293.459193
-4991.079242,5001,3490.762792
-3284.618818,1240,3544.163082
-5937.982343,5001,3757.334052
-1200.666182,1016,3805.855677
-4250.982084,1072,3848.963994
-2240.469631,985,3897.235789
-759.88231,832,3932.223449
-654.980519,567,3954.976247
-1152.975542,920,4002.459852
-513.921306,684,4031.98331
-3391.490012,1026,4086.063691
-1258.225106,707,4114.681666
-4106.397336,804,4145.944224
-3338.9341,827,4187.971172
-933.194479,878,4224.790497
-1087.123091,869,4270.944364
-784.37834,860,4308.748308
-1203.223009,781,4344.167397
-615.783578,658,4381.969595
-7044.499759,5001,4627.758088
-2957.96947,1096,4684.628383
-3146.178791,1397,4748.515853
-7365.321325,4027,4956.057983
-2725.345944,1109,5019.856152
-2433.605755,1017,5071.343539
-7294.811887,5001,5357.810005
-21530.313481,5001,5658.459392
-504.419134,468,5694.280902
-1490.005861,894,5747.024446
-789.090707,599,5781.583247
