# {"t_start": 1590091499.658681, "env_id": "metak-v0"} 
r,l,t
-6529.293385,5001,119.679492
-21150.096612,5001,242.104563
-7544.717855,5001,377.131986
-5548.097059,5001,506.280369
-6541.33983,5001,646.146739
-11041.806047,5001,780.442026
-8573.592364,5001,926.797892
-4489.130923,5001,1067.631778
-13880.08531,5001,1211.076316
-14258.650192,5001,1362.951535
-2206.481135,1446,1408.229284
-2548.718923,1344,1443.920949
-4437.035657,1553,1492.933751
-1721.20303,1329,1536.063058
-21057.285706,5001,1688.989254
-6589.338005,5001,1851.414437
-7421.864784,1226,1886.95744
-3827.997312,1731,1942.225344
-6605.320773,1201,1983.18298
-3078.023727,1059,2012.831157
-9315.767893,5001,2182.210331
-1543.975513,742,2204.922067
-6697.552757,5001,2375.811637
-969.274641,853,2411.185252
-1471.521679,1100,2447.038577
-4311.344669,1228,2495.756725
-1255.502917,1144,2534.59519
-1116.957816,1231,2585.854405
-912.364305,924,2626.031156
-1814.544435,1236,2668.650458
-3949.744896,1160,2718.390121
-1690.596096,878,2750.16715
-1706.318218,1617,2816.241061
-4444.366256,5001,3010.017233
-2759.479108,1157,3058.898983
-1734.355252,1034,3096.545801
-32215.486818,5001,3301.237436
-6608.579697,5001,3499.419501
-1672.12707,1092,3547.664993
-3503.591293,850,3580.622846
-3773.563872,4158,3761.996727
-23371.259778,5001,3990.156423
-1012.022421,834,4026.242336
-667.602482,558,4050.039621
-892.074812,810,4093.492692
-4276.892404,1403,4150.303698
-1230.627744,1165,4206.320349
-1163.989688,793,4239.834291
-2204.055187,896,4287.831707
-2741.676136,1262,4352.382996
-1128.618492,616,4380.928752
-2571.561351,967,4424.607981
-2998.933083,1333,4492.655675
-8052.787432,5001,4737.907051
-722.234125,766,4780.51566
-1487.162402,784,4817.751234
-5647.741242,4177,5038.500361
-359.45393,359,5057.00952
-2485.331773,1560,5146.727543
-1430.843241,1081,5212.018806
-1044.954918,915,5260.803081
-2418.904147,1102,5325.317868
-835.42931,763,5365.819993
-931.202807,926,5415.734241
-1251.295872,992,5481.5827
-993.562712,667,5519.977306
-1349.165036,780,5572.730235
-740.313835,759,5616.719719
-2435.108238,1054,5685.683292
-6082.548739,938,5740.724926
-674.662666,805,5787.875178
