# {"t_start": 1590091497.38185, "env_id": "metak-v0"} 
r,l,t
-5786.930961,5001,121.946362
-17445.480918,5001,244.371775
-8511.614742,5001,379.392085
-17741.901267,5001,508.548868
-6868.743708,5001,648.413111
-19092.189885,5001,782.710362
-19207.884471,2508,851.426176
-24789.307543,5001,998.794761
-78921.21846,5001,1142.284706
-9052.464528,2575,1223.515872
-16035.174255,5001,1367.19954
-5381.855066,5001,1514.864738
-10602.350405,5001,1675.054027
-11949.19878,5001,1829.496298
-7673.246391,5001,1992.319152
-8485.376281,5001,2153.313353
-11933.240484,5001,2330.03298
-4229.498503,1475,2375.706159
-1494.001872,1188,2421.787339
-1231.350504,901,2451.530569
-4385.176258,1688,2516.28319
-1457.419203,1120,2563.0624
-3127.44343,1773,2632.659115
-1399.66677,999,2666.926547
-2120.080971,1063,2713.096177
-1838.559863,1146,2754.651853
-1357.49802,1018,2799.127699
-3752.315676,1332,2846.308932
-5207.915102,1125,2894.50825
-10559.88913,5001,3088.760672
-12418.824911,5001,3293.73478
-16985.879177,5001,3491.328115
-10663.751689,5001,3709.419236
-4219.945436,5001,3926.687668
-6329.606284,5001,4160.573145
-1631.651752,921,4199.017408
-6126.331401,2846,4331.351933
-648.518431,714,4371.429849
-1593.913149,785,4407.623956
-2114.57228,1017,4461.077708
-1013.707821,719,4494.284664
-623.862964,678,4526.012498
-880.767698,685,4565.915744
-1363.880637,1101,4617.089185
-4687.535457,2098,4719.240747
-8177.558357,5001,4981.20427
-2598.305019,941,5028.794652
-2779.250929,959,5085.839411
-7282.297192,1041,5140.18229
-4009.775505,1497,5228.928821
-693.072494,674,5263.968599
-694.636485,736,5301.275863
-2830.042409,2121,5422.586987
-956.22493,706,5472.388283
-3633.2902,964,5527.665023
-3961.549069,3448,5743.800702
