# {"t_start": 1590091495.4038138, "env_id": "metak-v0"} 
r,l,t
-7772.109416,5001,123.91895
-11395.915179,5001,246.344391
-6678.250853,5001,381.365143
-17084.897711,5001,510.522404
-8084.359842,5001,650.386688
-12110.577679,5001,784.685095
-7567.347453,5001,931.042566
-3177.112024,1569,969.059289
-5571.149487,5001,1119.828031
-19097.102975,5001,1263.552381
-3017.513482,2289,1330.032687
-7167.287009,5001,1484.046957
-5193.814189,5001,1635.127251
-1972.351647,1168,1675.131731
-6492.841018,5001,1829.691706
-1819.494652,1475,1879.701117
-7453.54564,5001,2034.762298
-7957.634652,1387,2083.125873
-1789.0735,861,2116.1914
-9973.733779,4797,2275.875023
-741.967932,880,2302.607396
-8735.318856,4295,2455.901077
-2435.61204,1089,2499.828983
-1405.395089,1323,2553.817942
-7623.850763,1599,2608.689776
-322.456676,217,2615.68005
-1020.718811,971,2657.510794
-1132.128928,1058,2695.69621
-26462.397001,5001,2898.870005
-4788.619635,5001,3093.313912
-1161.396308,949,3135.380259
-5261.209013,1037,3173.127117
-4133.462296,5001,3376.335765
-7998.530719,5001,3578.143458
-1504.291926,756,3616.365583
-1430.393168,1099,3659.479069
-1607.733112,1341,3721.075793
-1288.925372,778,3751.480322
-4355.162424,3685,3916.43841
-840.398356,683,3944.71073
-3189.495132,1048,3996.805737
-2746.928238,1909,4088.912886
-1003.451741,947,4127.117115
-1126.390171,933,4172.04323
-8063.80794,1564,4237.65834
-9446.714883,5001,4486.948101
-6402.985481,3457,4662.579398
-3045.375525,2921,4803.133628
-10190.089789,5001,5064.662903
-1363.658436,760,5112.887933
-10609.491839,4701,5375.831527
-1128.397734,986,5437.848917
-2032.716795,784,5483.520269
-1067.952664,809,5530.329081
-1254.103198,789,5583.743968
