# {"t_start": 1590091496.65053, "env_id": "metak-v0"} 
r,l,t
-12072.67253,5001,122.678727
-7298.034667,5001,245.10215
-11538.869601,5001,380.12324
-6387.845408,5001,509.280021
-7849.617755,5001,649.144531
-6539.915169,5001,783.442456
-8374.650691,5001,929.799533
-7772.103424,3043,1013.750421
-3448.489685,2130,1075.105926
-10712.912865,5001,1226.572884
-25089.753136,5001,1370.200845
-7553.81704,5001,1517.873646
-12000.401598,5001,1678.223739
-7928.528469,4835,1827.772135
-5984.334686,5001,1991.00183
-3565.259411,951,2017.745864
-8140.686935,5001,2187.284025
-1636.77598,1408,2230.779385
-566.935468,713,2259.431864
-1419.241318,1084,2292.714285
-905.196445,947,2331.617739
-3624.070556,1102,2365.103296
-2927.488338,1108,2408.611872
-1613.101365,1130,2445.819131
-1424.41463,1371,2499.350131
-2766.757562,1425,2555.954482
-2987.742463,1916,2630.60693
-2995.52859,948,2663.650543
-529.169815,643,2686.255113
-8403.544906,2916,2808.068196
-1318.559083,1043,2844.608493
-898.759542,915,2884.734582
-1181.834373,829,2914.482551
-9375.183554,5001,3117.100805
-7272.444498,5001,3314.415512
-6904.097785,5001,3512.079093
-6832.88405,5001,3731.425627
-1017.237592,791,3763.177594
-608.055772,688,3797.850759
-2263.629539,955,3836.225468
-5323.785017,5001,4069.853718
-1266.105989,1160,4119.442828
-977.917821,895,4162.728124
-1172.996827,687,4191.376308
-2073.798498,1000,4233.015781
-2034.071871,1267,4297.256483
-1018.836664,913,4338.342862
-1209.572528,685,4377.203863
-631.249374,631,4406.19578
-4900.26302,2715,4538.333091
-11289.538929,4269,4749.954553
-12470.042699,2415,4879.058846
-3192.696337,971,4925.755406
-1413.539969,1143,4990.160147
-816.5669,781,5029.749432
-2281.312733,1222,5101.042029
-3669.84133,1604,5185.457483
-991.20426,634,5227.595358
-6238.833887,1967,5337.316159
-1616.558882,914,5386.394957
-543.255689,594,5418.364256
-8470.072191,5001,5732.278901
-3014.5039,1210,5803.758992
