# {"t_start": 1590091499.6844954, "env_id": "metak-v0"} 
r,l,t
-5704.771096,5001,119.652837
-5395.934353,5001,242.076445
-12020.089817,5001,377.099432
-13843.106289,5001,506.25562
-19888.190551,5001,646.119564
-4049.747791,2518,712.647029
-8172.341333,5001,849.459863
-1375.245844,1575,896.61078
-10918.232106,5001,1044.752537
-2858.806,2083,1105.111746
-1573.833188,1359,1140.673886
-1981.323829,1503,1187.047133
-5805.561092,5001,1330.483765
-3767.020407,3062,1424.941416
-4423.528292,5001,1574.195134
-30395.069301,5001,1736.362154
-4238.368045,1567,1787.474588
-4527.802434,1660,1834.091243
-1846.640686,1406,1881.972923
-10037.134294,1337,1926.914907
-11543.651912,3570,2034.903201
-1076.746974,1171,2076.473461
-1003.69307,943,2112.070105
-939.531806,915,2138.501508
-6133.011154,5001,2305.920035
-1555.362669,1183,2351.152664
-3228.23538,1366,2402.022815
-1005.281736,1044,2436.705798
-7032.349087,5001,2631.288574
-5111.754161,1338,2677.756672
-7039.230184,947,2719.85731
-680.822983,716,2745.493652
-9298.451024,5001,2948.066288
-788.240903,569,2967.845762
-3754.364894,1617,3033.86122
-7110.89471,5001,3229.870305
-13101.366237,5001,3425.439113
-1412.144035,1192,3478.698383
-5081.195067,1192,3529.6552
-4539.837161,1955,3614.30681
-910.234862,827,3647.418329
-514.020276,621,3671.62442
-3573.206739,984,3718.945951
-1334.866333,869,3753.093391
-3623.896881,801,3792.901924
-742.493865,767,3823.360231
-4417.673461,973,3862.763793
-3385.130883,4434,4076.342642
-4921.604408,3465,4225.897037
-749.92857,602,4260.493717
-15342.145989,1101,4308.891325
-1364.817514,1001,4361.773946
-410.509539,548,4387.658728
-768.191043,708,4418.964741
-1432.192487,633,4454.900452
-1057.321674,895,4496.697763
-943.383893,758,4531.798025
-578.372151,575,4566.798889
-1644.77383,1232,4623.749877
-5760.134414,5001,4878.951132
-1640.759028,1062,4930.021527
-1210.102127,1001,4987.275573
-4913.067529,2539,5125.658554
-787.700533,561,5155.565458
-2035.408565,899,5211.159132
-4045.389365,1629,5295.842104
-2171.702166,1117,5363.061291
-1718.421378,728,5402.543502
-974.843155,834,5458.231204
-1894.671145,1199,5527.232437
-1304.749439,892,5586.853419
