# {"t_start": 1590091498.1453109, "env_id": "metak-v0"} 
r,l,t
-6252.806158,5001,121.189202
-23733.674698,5001,243.61496
-4186.372958,3669,340.060328
-9903.282909,3694,438.683869
-14629.885382,5001,568.985129
-6106.794663,5001,710.210809
-38148.693898,5001,846.801344
-15457.004608,5001,994.470021
-1780.372651,1388,1029.793613
-12797.676073,5001,1181.249753
-12125.110059,5001,1324.387656
-7134.65362,5001,1478.16079
-10620.477376,5001,1629.08893
-6497.175814,5001,1791.50623
-11457.310774,5001,1947.440482
-6153.545949,5001,2113.610971
-5959.56748,5001,2279.355739
-707.620311,726,2301.603968
-2222.316902,1872,2368.086444
-1423.073701,965,2406.758622
-1255.274999,1019,2440.858734
-2226.892244,1112,2485.666247
-2360.076267,917,2516.883069
-4931.555309,1072,2561.370745
-1442.349706,986,2595.508639
-5434.231449,1136,2642.702485
-2541.381021,1620,2708.911882
-639.196827,761,2735.823329
-1177.22368,920,2769.085692
-2928.091123,1142,2817.559328
-1116.544988,1005,2852.818398
-720.033377,560,2880.70488
-7587.357208,5001,3075.222116
-8363.458019,5001,3280.341071
-18736.163579,5001,3477.326819
-6160.305219,5001,3686.608894
-4151.459216,2169,3788.25434
-891.93066,831,3821.302489
-842.136048,830,3855.036654
-3819.228979,2079,3948.729487
-1296.085634,925,3996.315912
-907.889612,727,4027.576547
-1446.387713,908,4074.875549
-4180.392732,2297,4176.924511
-3370.986756,1569,4243.153466
-4714.472483,5001,4492.609986
-5158.507093,2325,4609.491163
-1021.477027,964,4661.03249
-22014.724791,5001,4909.758602
-1928.15165,1023,4958.946677
-2145.498691,1293,5032.450802
-1029.188659,854,5084.040526
-1099.93178,1032,5137.862529
-3556.698042,1846,5245.194677
-1341.257562,1047,5298.401005
-1674.587924,813,5348.92276
-1454.317853,1205,5414.051032
-1944.481232,1034,5481.894152
-1254.586088,1156,5548.492689
-7191.61616,2549,5711.83941
-818.640696,532,5743.540304
-1082.164588,830,5792.139203
