# {"t_start": 1590091499.3365784, "env_id": "metak-v0"} 
r,l,t
-7036.095536,5001,120.001599
-3223.992681,3151,194.435897
-3989.351515,3377,282.522251
-3449.619825,3474,377.45341
-2935.084488,2038,429.740343
-10952.468126,5001,560.073532
-18099.814065,5001,701.116901
-4463.637575,5001,837.064523
-4724.870943,5001,984.473125
-7572.488501,5001,1127.704654
-9302.500033,5001,1271.29466
-4903.342589,5001,1423.800293
-1513.703316,1292,1466.36392
-6249.241956,5001,1616.971914
-7497.560763,4952,1769.60438
-1869.623129,1179,1810.275105
-7092.395714,5001,1965.814431
-2075.948779,1101,2003.935537
-2006.677645,1415,2053.186824
-3768.848942,1441,2094.392603
-2617.979484,1324,2141.003318
-5309.482259,1361,2189.286877
-1259.173693,773,2213.033745
-2325.16124,1195,2256.395243
-7850.376338,5001,2431.235707
-2103.812618,1274,2480.748728
-1135.864988,807,2508.548261
-8973.927282,1338,2562.324502
-1589.534565,812,2590.265951
-2164.496506,927,2630.573459
-945.170263,999,2664.838989
-1339.665957,723,2690.710637
-1975.099067,823,2728.606043
-5879.361445,1203,2772.046417
-5389.557833,1163,2821.474076
-9700.203631,5001,3014.993013
-5622.82358,5001,3219.231253
-1624.154194,1200,3262.64048
-7616.902432,5001,3467.989614
-1294.785754,903,3501.665004
-637.333307,651,3532.572037
-5848.111239,799,3563.221263
-621.782575,662,3589.44554
-4528.853901,1368,3651.763179
-1516.033731,1328,3712.858464
-1538.486471,1141,3758.09159
-1642.795787,1107,3809.932796
-1729.912838,939,3847.586703
-1429.894538,821,3889.260813
-5535.164926,5001,4117.110328
-732.467412,714,4145.163063
-7010.564236,2616,4272.169924
-4568.315091,5001,4514.879666
-13229.848147,5001,4766.703936
-1220.092743,994,4813.114316
-2256.368814,923,4865.70294
-10503.661122,5001,5132.665691
-634.929012,664,5167.960957
-3059.516475,1160,5237.877699
-948.394785,825,5280.117318
-594.100899,585,5317.922594
-2121.644734,934,5368.256328
-812.101921,1005,5422.338909
-847.651422,871,5481.622606
-656.951792,725,5523.243926
-4881.439508,1003,5589.463357
-1993.996864,1108,5652.305487
-1696.406184,682,5701.190269
-746.036433,756,5745.607562
