# {"t_start": 1590091499.914461, "env_id": "metak-v0"} 
r,l,t
-7406.742561,5001,119.428468
-16473.49316,5001,241.85271
-14391.748983,5001,376.873894
-936.919148,1272,404.483541
-6698.059769,5001,542.39556
-6389.265271,5001,675.091763
-8147.947776,5001,818.588137
-6333.518518,5001,957.228348
-5267.513859,5001,1107.3884
-15098.948084,5001,1251.373866
-561.132785,908,1282.432231
-6835.489636,5001,1427.15993
-23738.795989,5001,1576.654781
-5377.539175,5001,1738.836661
-22056.386062,5001,1894.36801
-8606.588921,5001,2058.649429
-1954.841387,1247,2094.313716
-7067.601141,5001,2267.31898
-1170.018999,1023,2298.98419
-3325.771385,1195,2344.684637
-3102.301301,966,2374.96036
-1589.748268,1191,2421.152691
-940.562055,880,2450.24345
-1543.01769,1202,2498.523028
-3486.837046,1422,2554.72502
-837.283912,961,2588.4736
-2077.685398,1103,2634.799231
-1329.400584,1175,2675.66704
-4276.401465,5001,2878.026689
-1688.583232,827,2908.247468
-1597.178107,878,2947.431442
-1188.005201,748,2973.898715
-5237.938492,5001,3169.807661
-1605.371083,1054,3215.410259
-2047.126151,1005,3251.852546
-5755.494297,2030,3332.418869
-763.037458,798,3369.049649
-1152.922261,963,3403.526515
-1189.852212,803,3441.201071
-1269.628048,1146,3484.193306
-1685.880404,1260,3538.243188
-7575.523514,1211,3585.343238
-1561.117812,950,3630.81303
-931.065328,692,3658.840815
-3373.493504,3362,3808.155102
-1206.918994,862,3842.699125
-1296.869858,818,3884.068747
-671.630607,725,3914.211076
-1321.645227,948,3953.958336
-3062.677979,772,3994.378716
-11423.157176,5001,4219.861987
-994.166419,779,4262.262856
-3265.038787,2411,4378.494242
-3063.373222,963,4421.838969
-534.804984,546,4453.490458
-1245.567729,811,4491.222756
-2448.826113,1124,4543.8487
-2265.173664,819,4589.775024
-2954.964244,2889,4728.985438
-5121.496054,1039,4784.113854
-457.865251,534,4809.195738
-15838.944554,3783,5009.920333
-1786.654551,1017,5061.608937
-588.661676,609,5102.109703
-1437.413495,914,5149.619376
-564.962957,579,5180.103905
-5663.984576,1775,5281.285439
-1955.638431,1217,5352.44378
-1790.085267,1454,5440.903803
-1527.961919,1080,5503.386107
-1099.462055,871,5561.871161
-524.757311,583,5596.22478
-2924.47126,914,5647.443082
-735.284861,773,5701.262001
-3269.526062,1312,5777.702656
