# {"t_start": 1590091498.3505733, "env_id": "metak-v0"} 
r,l,t
-6377.668378,5001,120.984256
-4573.273297,5001,243.410226
-5602.291451,5001,378.428254
-15609.101815,5001,507.58615
-5599.815628,5001,647.448513
-2090.006255,2243,707.093928
-14899.041263,5001,843.43575
-13847.641701,5001,991.083682
-13012.573743,5001,1134.156328
-12451.470134,5001,1285.637571
-6481.154858,3867,1392.701121
-5287.480382,2841,1483.881466
-6818.538223,5001,1634.744591
-4406.489251,5001,1796.785143
-12255.413478,5001,1952.473826
-7198.104128,4223,2088.359074
-5307.786409,5001,2260.637224
-820.646836,929,2289.280269
-880.447502,897,2326.077148
-6192.002368,5001,2504.401359
-13693.782141,5001,2693.853727
-13646.116485,5001,2896.839087
-4684.763626,5001,3091.287327
-2566.412211,912,3131.958902
-941.133294,905,3165.093216
-5668.271122,967,3207.271905
-1535.188398,862,3238.397719
-6033.778046,5001,3442.526216
-2881.824433,1410,3495.700812
-10691.297676,5001,3714.215797
-5448.169071,5001,3931.816916
-1337.487086,720,3962.318745
-1505.539504,1062,4014.960511
-1595.331781,837,4050.764903
-13060.14641,5001,4285.862872
-871.340866,890,4325.292097
-1319.496235,974,4377.745471
-1383.111785,704,4409.858933
-1204.581493,948,4459.8781
-2899.841298,954,4504.524543
-4329.604924,1772,4594.788785
-1511.169286,1439,4668.705514
-7943.894218,1037,4714.001015
-930.108342,703,4747.320732
-565.925194,548,4779.597959
-959.503222,860,4820.287864
-854.668476,934,4873.259662
-381.48224,444,4894.775245
-1414.788657,840,4935.841994
-5435.70093,3076,5107.756081
-3252.407811,1238,5172.594857
-977.822375,768,5221.720149
-5821.588355,1826,5323.904972
-12171.597209,5001,5622.030572
-4036.861679,1417,5712.184564
-1002.466913,712,5754.771521
-784.217683,750,5798.709038
