# {"t_start": 1590091499.7804058, "env_id": "metak-v0"} 
r,l,t
-8047.452915,5001,119.563678
-7767.563312,5001,241.989173
-5848.156563,5001,377.000997
-5631.704741,5001,506.162459
-6478.365374,5001,646.0223
-5024.913758,5001,780.325509
-5873.010122,5001,926.68194
-3297.66802,1953,981.735306
-13331.191345,5001,1125.036936
-2645.275284,1340,1168.195698
-2660.590475,1364,1202.44951
-9531.736413,5001,1354.477779
-8960.836823,5001,1501.364172
-6150.212409,5001,1660.85545
-12277.366633,5001,1815.11262
-11137.042347,5001,1978.758528
-4243.019685,1767,2027.972114
-13861.260416,1463,2078.629413
-4023.596182,1425,2127.82845
-689.781884,670,2147.986682
-1511.002554,1017,2185.734902
-5061.205601,1670,2236.752291
-930.5969,1046,2276.261593
-1292.619214,1175,2320.775505
-1759.018643,1121,2355.806786
-5541.855743,1272,2404.076309
-981.792649,803,2431.406892
-1991.622037,946,2470.005868
-2073.081309,1391,2517.415449
-1775.816336,1240,2567.759858
-2538.909546,1728,2635.548179
-1020.266955,854,2665.081826
-20093.369636,5001,2867.568671
-9385.024264,5001,3061.828819
-5195.696823,5001,3258.674707
-1154.725359,880,3298.822447
-1358.948585,1007,3334.131052
-1233.28832,967,3376.64287
-2380.173339,1203,3419.973984
-858.133322,635,3451.627786
-502.828745,622,3475.395385
-1317.147769,935,3510.339699
-17158.561855,5001,3729.979238
-780.260445,768,3760.734111
-1040.305603,924,3805.069291
-1347.85101,1012,3845.622818
-612.608428,624,3878.339027
-949.317849,637,3905.270159
-3415.289109,1143,3953.190245
-5265.784446,5001,4186.949444
-3258.073143,732,4217.386848
-1101.280301,1005,4269.500226
-7438.333614,5001,4511.973799
-8268.785683,5001,4763.797211
-895.741786,870,4804.559177
-476.861363,547,4831.852443
-1384.67819,724,4873.902595
-996.714524,900,4917.306174
-1494.365044,656,4949.06642
-755.414111,600,4986.767732
-5330.92138,1185,5046.989973
-1659.649826,1253,5120.040916
-790.473736,843,5164.709072
-1149.55641,776,5213.907592
-776.789209,723,5252.690615
-2768.556739,948,5300.999155
-3234.675345,2644,5461.384392
-2670.910374,1112,5525.570347
-699.15636,695,5573.492151
-642.291213,638,5610.776807
