# {"t_start": 1590091500.341216, "env_id": "metak-v0"} 
r,l,t
-10872.67899,5001,119.002094
-8568.133701,5001,241.429403
-5716.49455,5001,376.444043
-5529.043937,5001,505.605042
-13429.712329,5001,645.468833
-24939.254345,5001,779.763717
-8570.390322,5001,926.119355
-7897.534149,5001,1066.955487
-3651.907079,2284,1133.306338
-5660.900637,5001,1284.795861
-8012.320382,5001,1429.679112
-2436.401179,1832,1486.1511
-9791.568597,5001,1637.243471
-2530.545868,952,1671.64157
-7958.288728,1468,1719.81538
-2306.595913,1833,1770.970678
-1519.369676,1029,1807.465111
-2935.427265,1582,1859.886646
-8241.639897,5001,2014.910557
-7950.470012,5001,2184.346743
-6472.696267,5001,2354.126653
-17648.737115,5001,2534.784814
-11888.851043,5001,2735.100281
-7498.63379,5001,2929.41594
-5370.964439,4898,3128.616004
-516.771184,552,3148.391248
-1475.234427,1079,3194.722158
-3761.143034,1038,3232.865592
-3678.341988,1286,3287.979855
-10060.146074,5001,3485.165213
-22795.399559,5001,3702.98885
-4883.686376,2119,3794.867831
-7371.349274,5001,4017.768737
-9055.320083,5001,4243.372551
-6255.885569,4794,4483.862844
-4535.202903,5001,4729.113197
-985.909668,737,4770.353267
-2020.443062,1000,4817.412144
-3006.837245,2071,4924.859245
-4711.844154,781,4971.281493
-644.070092,736,5008.49888
-5055.020162,1047,5061.737533
-3494.956309,1389,5142.218654
-748.532875,828,5186.287552
-718.515924,735,5233.89432
-844.175651,700,5269.974249
-1916.845088,1020,5330.796617
-1661.198292,1218,5396.294254
-1168.718427,815,5450.984104
-1224.899022,817,5497.462996
-580.51046,669,5535.99263
-790.319376,637,5580.928461
-1199.421544,817,5627.355721
-1858.609761,1187,5704.916381
-1580.869141,1041,5765.506767
