# {"t_start": 1590091500.4367695, "env_id": "metak-v0"} 
r,l,t
-5766.937803,5001,118.914186
-7319.279653,5001,241.334624
-17160.592468,5001,376.347105
-17512.432155,5001,505.508599
-4933.627908,2931,588.686418
-5780.522156,5001,722.107077
-6969.09007,5001,867.546787
-4609.409794,5001,1006.942595
-7889.328193,2120,1068.077794
-8997.4122,3710,1179.298447
-15363.655519,5001,1322.441742
-13783.117097,5001,1476.219581
-5506.543435,5001,1627.148976
-9280.732178,3114,1729.152468
-11383.678058,5001,1885.254007
-5385.579328,5001,2049.288406
-8346.020917,5001,2211.939397
-4867.238788,1290,2258.21444
-1112.636032,898,2285.871453
-6611.036013,1355,2337.149309
-8998.492306,4523,2500.340818
-6504.246137,1154,2547.130586
-1361.398841,1139,2586.678257
-1186.80637,808,2614.70235
-8451.991885,5001,2816.920236
-5623.135862,5001,3010.509064
-954.839053,784,3046.795455
-762.878391,791,3075.176554
-5953.6434,5001,3280.10769
-7487.779923,1937,3356.772932
-7060.400488,5001,3557.089787
-978.867221,979,3595.522831
-872.932774,796,3635.377105
-908.734554,649,3661.195478
-2915.783345,947,3706.886576
-2296.484435,760,3736.623919
-1741.228266,1394,3799.83814
-1066.199429,785,3830.853388
-1127.133368,764,3862.019941
-1560.897739,793,3902.890328
-1319.212105,1029,3945.398794
-4183.21954,3966,4130.115711
-1165.556267,751,4167.967423
-5600.960362,835,4202.561576
-1568.505586,966,4252.009969
-3926.18563,839,4289.806766
-1407.004872,646,4318.118255
-1397.198606,1011,4371.673266
-3060.647393,1106,4422.464852
-783.477051,604,4456.778887
-1423.914759,963,4501.8764
-2296.121092,1751,4591.184772
-3711.583091,3180,4743.585405
-711.254624,729,4784.519167
-1713.902344,830,4824.201186
-702.932343,743,4867.743366
-1397.024319,813,4906.923861
-5707.524491,5001,5178.069451
-4077.439717,1658,5273.124277
-927.592673,894,5327.720796
-1466.26458,1011,5381.694236
-865.364677,997,5446.003121
-957.597621,808,5492.155137
-717.314371,697,5532.177466
-20838.440762,3977,5778.987358
