# {"t_start": 1590063814.2706718, "env_id": "metak-v0"} 
r,l,t
-2441.790411,5001,133.518122
-2422.633662,5001,323.903087
-3192.322879,1442,368.798218
-1618.527581,5001,597.882462
-2719.506514,5001,852.419567
-3258.520862,5001,1084.560651
-3469.567683,2727,1230.33381
1651.575398,1164,1286.464671
-4010.815855,5001,1631.077443
-3056.908442,5001,1913.48261
-2021.483699,5001,2206.639053
-3743.451409,5001,2518.188393
-3211.703639,5001,2851.096548
1012.862528,1741,2959.297365
-478.296654,2610,3163.090195
-1612.295458,5001,3445.542065
-2041.293628,661,3482.272282
-82.520953,3050,3675.875236
-5980.029837,5001,3979.202114
-1968.69085,697,4034.870057
-1022.370383,2641,4206.943396
-2344.561566,677,4254.891716
-5105.611019,2689,4401.717381
-2199.921882,5001,4660.803911
-3122.356437,2053,4784.792542
-4307.81692,3411,4967.785008
-2034.098813,1240,5048.771465
-1881.376398,3253,5246.819077
-4392.301971,5001,5565.060611
-3474.395251,5001,5888.343414
-2585.020177,5001,6177.840832
-4358.98462,5001,6556.479873
619.184187,1590,6657.154568
1037.772884,1910,6788.146365
1139.187069,1236,6868.791859
1132.224042,1560,6993.272202
1722.146482,590,7029.108741
-2032.788106,836,7083.454676
1505.915352,1041,7163.527328
-6610.555827,5001,7494.460846
-676.419056,2252,7671.622126
-4742.209692,2692,7866.701277
-1536.397874,328,7904.78616
-2310.615035,1955,8111.990565
-603.338643,2673,8327.610318
-4630.518851,5001,8758.414094
-1637.936046,446,8799.283316
1486.949705,702,8880.072137
1265.780257,978,8986.581966
1162.16333,725,9050.22524
1265.798858,859,9159.880007
1250.886249,866,9252.448954
-1632.517345,370,9290.388392
1128.864469,1143,9434.327328
1772.63794,733,9514.718948
1346.750446,752,9585.296005
1602.565209,689,9667.320932
-2890.046875,1532,9815.446186
800.039915,1281,9966.663776
-1735.469515,328,10007.426812
