# {"t_start": 1590063813.771966, "env_id": "metak-v0"} 
r,l,t
-3309.154927,5001,134.010274
-6806.884441,5001,324.402896
-4025.133259,5001,520.495365
500.440362,3850,721.30206
-6473.983398,5001,957.405195
-3068.102873,5001,1217.14709
-3602.412155,5001,1510.818449
-5227.822852,3658,1768.189208
-5388.536685,3605,1956.42851
-4640.529373,3829,2182.396292
-1900.952463,627,2223.561393
-4223.498827,5001,2533.283467
-1725.937212,5001,2874.468287
-6936.833373,5001,3206.036121
545.559822,1901,3306.680526
-1690.159056,421,3334.794538
1878.500722,774,3390.801522
-2996.388467,5001,3696.469189
-3335.517245,1730,3795.228298
-5562.696711,5001,4111.415845
-3508.588921,5001,4421.165974
-3538.232636,5001,4678.377695
-3577.067345,5001,4959.283178
-5403.269269,5001,5264.309447
554.69527,1817,5386.544858
-5473.453699,5001,5700.263973
-403.129714,1607,5810.59502
612.339549,1125,5879.2221
134.221843,2911,6047.922878
445.539319,1783,6155.079077
-5803.118618,5001,6510.664803
-2656.112569,5001,6861.352913
-1996.852363,5001,7219.694202
-6247.318234,4890,7558.294941
1055.744595,955,7624.482868
1393.800351,833,7687.514697
-5116.445829,5001,8135.442075
-1851.454819,530,8181.067321
1488.325819,907,8257.670565
-6765.661356,5001,8679.200521
1641.559337,818,8746.400234
471.376772,1240,8877.97833
-684.50278,3431,9243.933877
-2380.827045,1721,9454.587875
1665.017817,724,9532.758156
1048.62489,1023,9640.342183
1747.612903,763,9718.594255
