# {"t_start": 1590063813.6661406, "env_id": "metak-v0"} 
r,l,t
-3110.032721,5001,134.126924
-5611.960292,5001,324.502434
-3641.535275,5001,520.603819
-7005.384229,5001,779.991525
-4633.484001,5001,1020.869362
-2395.570946,1596,1095.316503
-2467.266863,5001,1386.675364
-5871.073288,5001,1695.020457
-4214.165562,5001,1985.880041
-4375.298914,2693,2138.710934
-2398.274537,5001,2462.890809
-4067.583775,4715,2752.567984
-5512.351334,5001,3116.460307
1019.686426,1458,3203.181704
-4599.922345,5001,3490.555986
-2816.668415,5001,3799.489992
-2533.511413,1042,3851.007977
-2415.382742,1709,3951.287224
-2426.700758,5001,4305.404211
-6291.104522,4540,4555.49071
-4674.825566,5001,4816.117653
-3743.641835,5001,5096.645281
-1655.677396,522,5128.720709
808.632189,1653,5237.071143
-2347.66948,3688,5487.631766
-3149.335057,5001,5795.997402
-2277.109148,1079,5867.520979
-3948.20672,4358,6123.687864
-2634.05223,5001,6471.163291
-4380.269879,5001,6831.13653
-3241.46569,5001,7180.769796
1727.104541,647,7224.55324
-3609.545145,2480,7384.147039
-1646.387248,514,7412.618452
-2799.448377,5001,7776.189906
626.700985,1052,7864.68314
756.709924,1472,8022.853551
-6171.643536,5001,8452.118368
1133.952851,1063,8531.705606
1727.767768,824,8609.511769
-4335.016333,5001,9116.468665
-2531.668736,1732,9315.776771
-1621.610956,546,9375.838598
1600.890985,587,9455.154251
1707.778428,606,9521.331826
981.097403,1027,9629.401679
874.20935,1123,9740.821793
1728.952652,609,9796.730608
-1690.668434,439,9852.058529
1532.18087,1118,9982.653885
1768.691906,637,10037.690913
