# {"t_start": 1590063808.6598597, "env_id": "metak-v0"} 
r,l,t
-3106.05638,5001,139.105562
-6732.140031,5001,329.494186
-2689.693821,5001,525.591605
-6352.244205,5001,784.983896
-5672.370297,5001,1025.864049
-5225.597677,5001,1279.683248
-4332.784045,5001,1620.162521
-6298.336611,5001,1904.229625
1348.453111,1838,2003.495066
-5785.641547,5001,2316.315647
-583.236612,2218,2449.710567
-5806.327519,5001,2761.039019
-5591.41816,4444,3070.098831
-4582.424604,5001,3387.524546
-2923.746163,5001,3688.742209
-4258.834783,3301,3882.638758
-4313.539789,4826,4207.417234
-2642.350059,2209,4345.016378
-2561.860789,1863,4441.518755
-2963.077317,5001,4698.836598
-4525.647555,5001,4987.929072
-4652.159672,5001,5291.045129
1056.365685,1063,5361.328183
-2028.957267,2107,5511.016102
-3535.455963,4496,5787.743057
-2811.881021,1308,5869.505047
-873.990737,3164,6052.137453
-132.046019,1532,6144.821639
-2423.478062,2537,6310.643834
-4064.18724,5001,6687.973204
-4649.905377,5001,7033.476028
-1682.788063,486,7063.219039
1917.064831,619,7109.159816
1693.927743,703,7160.772612
1125.306978,868,7222.832495
-5721.313184,5001,7565.485915
-4282.752039,3464,7806.649377
-5048.366001,4871,8273.253887
-1116.593406,58,8277.842932
-4052.104051,5001,8696.1669
-4231.409116,5001,9219.981526
1457.507385,806,9309.708072
1067.487236,1121,9452.667036
1223.116506,1021,9556.950464
-1521.276679,211,9574.878774
