# {"t_start": 1590063813.2458255, "env_id": "metak-v0"} 
r,l,t
-4361.200076,5001,134.538241
-4066.398016,2585,232.578726
-2901.592016,5001,418.315759
-8520.187978,5001,652.963471
-2544.275685,1111,709.658587
976.082391,1553,788.163357
-1848.172893,4338,998.666379
-2746.984655,1332,1065.989125
-6096.268505,4588,1302.550947
-4416.588016,4291,1598.00188
-2109.651752,705,1644.530946
-2692.11528,5001,1922.747839
310.359055,4511,2186.964402
-3598.673426,2180,2356.047304
-3841.181671,3521,2541.823594
-2655.900151,1335,2622.470081
-3458.067846,4853,2949.211952
-3260.058464,5001,3270.59333
-2772.784318,5001,3577.641128
-3506.696124,3308,3784.559227
-3515.287829,2181,3903.255307
-265.778429,2636,4097.711826
-2642.605114,1188,4168.127092
-7228.604797,4465,4434.192863
-3151.032402,5001,4693.506762
-3651.456537,4623,4954.688588
-5159.800703,5001,5259.481179
-4767.544332,5001,5579.567165
-4987.232835,5001,5901.567115
-3495.085974,5001,6192.986009
-5338.540079,5001,6573.858363
-1717.670769,5001,6909.160334
-2394.778149,5001,7268.744003
680.116175,1635,7359.198568
1491.310134,874,7417.413867
1667.74806,862,7487.591653
-3476.580586,5001,7860.292278
-1745.660871,487,7916.83752
-3364.944542,2902,8198.567503
1318.163227,1016,8279.33558
927.578806,815,8344.113171
-1712.656242,392,8376.365851
1080.457665,1012,8460.142415
875.56178,1503,8581.99495
1571.840349,643,8645.402868
819.346991,1181,8755.273359
1503.5911,642,8812.711419
679.814514,1027,8924.249861
-2630.715583,1023,9026.96321
-6118.842246,3949,9483.841983
399.9159,1164,9598.730012
-1580.928325,316,9648.538867
1783.095905,781,9725.632324
420.394066,1657,9892.569793
