# {"t_start": 1589978595.5642858, "env_id": "metak-v0"} 
r,l,t
-6239.356302,5001,116.672679
-3709.467993,5001,236.173656
-3996.708534,5001,366.650389
-2370.277891,3367,448.989127
-3437.177074,5001,588.658296
-3300.620608,5001,723.85889
-1096.542537,1408,766.417867
-729.132741,1078,800.45758
-2023.486996,2728,875.934421
-3222.23442,5001,1016.863313
-890.830518,1258,1057.567294
-2868.51384,5001,1207.249773
-696.012099,988,1241.781671
-658.050686,951,1267.713954
-762.042752,985,1302.901042
-699.649694,892,1328.353226
-847.59327,1091,1368.671513
-704.250642,989,1397.48831
-739.877852,918,1432.452879
-3026.505418,5001,1590.3527
-320.394773,533,1605.959538
-793.729817,977,1641.025939
-692.109955,898,1666.586614
-732.719419,900,1701.404379
-653.53308,845,1727.573185
-792.995669,974,1765.200295
-695.605195,875,1792.361908
-507.136331,714,1814.556166
-329.828588,523,1839.092367
-686.8702,881,1866.594435
-643.344451,815,1899.192166
-448.535885,620,1920.522583
-490.923364,675,1942.479382
-355.542327,529,1960.232422
-575.592652,756,1991.226786
-396.819825,628,2011.339932
-889.761225,1181,2056.139467
-1099.968593,1502,2104.971901
-429.901951,623,2132.905912
-601.746035,776,2158.796663
-755.560921,1078,2201.16357
-769.293173,913,2232.060763
-573.433216,765,2259.722293
-870.387242,984,2312.600888
-322.326952,468,2329.58475
-286.258547,442,2346.313652
-492.23165,631,2378.178483
-429.119752,599,2401.045416
-405.56557,558,2420.388384
-676.046001,826,2456.937812
-680.133813,839,2488.561296
-570.617866,758,2514.248557
-2864.163923,3481,2650.717139
-475.972858,733,2675.220535
-325.616084,467,2699.086552
-387.339707,551,2718.905728
-484.87853,625,2740.654296
-641.742747,801,2776.132899
-447.506412,586,2797.903659
-356.49794,522,2815.954869
-297.189424,462,2831.617037
-484.350666,662,2862.378739
-329.332967,482,2879.35215
-299.865491,434,2893.891327
-317.46041,475,2908.83396
-771.085419,927,2948.973599
-571.973157,785,2976.866716
-356.444063,507,3001.605479
-738.917542,926,3035.670309
-345.789706,505,3053.303334
-215.239814,344,3066.277671
-500.234471,682,3099.698621
-821.871816,979,3136.034584
-567.095348,713,3168.361994
-389.542345,547,3189.119391
-812.153427,946,3223.073536
-639.782934,794,3262.0304
-449.918711,632,3287.427847
-649.786465,797,3318.729923
-310.094371,434,3344.209443
-674.126115,803,3374.223576
-307.02446,455,3392.654022
-439.944907,560,3413.634885
-635.693869,801,3452.807946
-492.757244,665,3477.950186
-674.762955,832,3516.943501
-655.666682,800,3546.312238
-359.546718,498,3564.554965
-809.093473,926,3605.100379
-633.161222,847,3635.128298
-410.602525,561,3654.810769
-1537.746268,2730,3773.133501
-410.859245,536,3794.778937
-238.563145,353,3809.148197
-562.278642,705,3837.680416
-737.43006,887,3880.860557
-1389.824488,2022,3983.501737
-2744.849323,5001,4210.969551
-311.458093,455,4238.619374
-396.013677,529,4259.489449
-435.059662,587,4283.199761
-339.491091,472,4302.378126
-289.036189,425,4326.753191
-396.448974,541,4349.115589
-276.485438,408,4365.87003
-474.131842,614,4390.887704
-264.246602,390,4406.772638
-501.357453,650,4440.71267
-386.167195,515,4462.766273
-776.455528,880,4498.0624
-327.435506,469,4525.956992
-633.569741,773,4560.051849
-219.044198,326,4573.129497
-811.617901,1073,4624.71419
-3085.002247,5001,4858.045149
-696.992566,836,4902.912458
-403.758812,566,4927.294461
-716.386607,846,4964.595632
-481.772816,608,4998.32102
-592.702358,717,5030.601976
-534.846339,655,5058.654009
-288.446976,419,5076.627171
-420.880555,566,5110.95989
-389.11542,534,5134.610352
-372.32732,519,5157.830136
-225.480486,345,5173.314116
-488.023163,643,5208.81271
-209.311929,325,5223.341901
-430.413835,577,5249.582503
-314.910471,465,5270.308664
-284.854737,394,5295.51515
-613.390345,754,5329.097387
-533.881488,698,5360.146945
-298.028188,424,5387.472719
-574.551498,720,5419.786757
-775.51661,889,5460.015437
-266.940376,387,5484.669132
-477.77984,608,5511.994626
-609.949048,749,5547.10101
-317.808229,428,5568.456228
-668.047183,795,5617.475691
-560.055997,698,5649.035216
-371.55498,500,5671.757059
-257.541402,387,5696.744189
-575.20711,694,5730.192276
-280.199915,393,5748.439533
-394.768602,540,5773.163167
