# {"t_start": 1589978598.450254, "env_id": "metak-v0"} 
r,l,t
-6142.221275,5001,113.806252
-1497.230597,2320,166.82988
-1714.73915,2209,222.659484
-3864.792813,5001,353.190881
-862.662251,1286,380.757201
-3550.095666,5001,517.200958
-3418.860756,5001,649.212999
-1349.319598,1684,698.586704
-5344.754672,5001,838.351737
-4786.658839,5001,983.191859
-4170.339521,5001,1132.578367
-928.486385,1195,1173.073182
-683.163038,946,1199.226658
-419.719935,664,1225.061162
-532.7959,737,1244.821591
-1031.517375,1253,1286.723273
-785.448742,1016,1315.317424
-515.845293,733,1336.982241
-550.51703,804,1368.560804
-643.61404,915,1395.56896
-685.129537,897,1429.794026
-541.741117,813,1453.079382
-3073.119776,5001,1618.515561
-595.135767,816,1641.743204
-611.162588,840,1666.122324
-752.828786,928,1701.202018
-533.129465,725,1723.962697
-903.569375,1322,1772.105115
-410.260274,619,1791.669069
-671.261521,840,1826.05225
-545.240357,748,1849.116969
-493.779151,650,1869.531724
-528.419606,707,1899.427726
-519.459075,693,1922.273002
-606.047766,771,1947.781563
-662.907949,868,1983.615609
-777.796174,939,2013.093753
-3053.739224,5001,2197.725004
-552.803574,753,2223.499953
-787.850737,932,2255.835656
-531.155525,691,2298.628424
-552.264376,719,2324.517241
-270.385886,419,2341.032269
-429.394854,573,2370.406708
-269.302218,414,2387.73217
-1247.697063,1254,2431.94015
-2015.893522,2129,2514.59254
-570.034805,720,2545.889581
-776.889907,897,2575.829951
-702.922863,883,2617.378363
-626.658787,796,2643.88098
-915.975048,1025,2686.271274
-616.447216,773,2714.309469
-433.149798,674,2737.424702
-281.126724,420,2752.439771
-2831.484376,5001,2948.390363
-598.597529,781,2975.823082
-385.462225,524,3001.812644
-637.33443,801,3030.888371
-773.020515,896,3063.401618
-361.384455,529,3090.793148
-696.831062,832,3121.800426
-185.530236,295,3132.937343
-305.518057,472,3150.399799
-577.91164,735,3184.06167
-509.206417,658,3208.187961
-342.210629,513,3226.961679
-479.843573,616,3258.780262
-378.513159,512,3279.013135
-793.990792,919,3315.365677
-620.288218,772,3354.35839
-492.969968,654,3378.663332
-483.966607,609,3402.190645
-387.299587,554,3432.613364
-344.061819,519,3451.731395
-418.656353,542,3472.482949
-529.878736,653,3497.168528
-483.295589,635,3528.255004
-452.409345,611,3550.60259
-601.805068,751,3577.916297
-777.576726,919,3618.071621
-484.399601,679,3641.932596
-354.12663,511,3658.900834
-735.088846,864,3697.541153
-620.87019,761,3727.729555
-428.371449,557,3756.271025
-256.295108,380,3772.13238
-298.145759,456,3790.537665
-664.893837,776,3822.063704
-411.298658,670,3856.854311
-624.979499,767,3887.963722
-469.324272,611,3912.536795
-754.930436,910,3959.199357
-1301.586391,2075,4065.318052
-851.547403,952,4106.089306
-529.514631,684,4144.10627
-573.757035,698,4174.026981
-794.957096,909,4210.329404
-807.904591,927,4256.434983
-685.812428,805,4288.830296
-667.300549,805,4328.669357
-807.402929,971,4368.9199
-328.114572,472,4388.176583
-434.118848,588,4419.449504
-588.120449,743,4450.383756
-277.580765,409,4466.844927
-315.35152,461,4485.755814
-595.470792,740,4525.266003
-264.789787,398,4542.415845
-425.167039,570,4566.66122
-542.659062,694,4602.462979
-684.348767,809,4636.213702
-299.016021,431,4656.043059
-596.728485,730,4695.134327
-490.28333,632,4721.614606
-231.271462,343,4736.183948
-465.021498,584,4760.942983
-485.318286,604,4795.151983
-616.435955,735,4828.407112
-388.795401,533,4852.282406
-354.056618,485,4874.044463
-376.608536,522,4905.062877
-405.963936,602,4930.980595
-606.030116,721,4962.338721
-640.852681,787,5004.014495
-928.171338,1246,5058.652379
-412.237029,532,5090.318528
-797.446186,947,5132.928942
-491.398908,617,5160.354028
-389.841123,511,5190.55663
-407.894118,517,5213.807786
-585.735786,726,5246.247503
-332.79278,454,5266.469222
-569.463108,714,5306.439695
-432.451115,595,5332.01901
-602.916593,744,5365.226844
-262.791708,398,5391.50448
-655.066563,787,5427.141167
-539.384294,677,5457.793581
-753.491447,869,5503.769989
-499.952126,619,5532.899339
-279.442076,384,5551.154177
-315.531574,423,5572.568146
-243.623094,371,5600.906591
-433.198157,568,5627.593091
-497.919329,641,5655.859108
-357.955303,474,5677.489661
-608.178869,745,5720.6451
-197.834564,313,5735.045396
-348.840739,491,5757.862801
