# {"t_start": 1589978599.7367468, "env_id": "metak-v0"} 
r,l,t
-5894.78436,5001,112.514588
-2056.730517,2881,178.05528
-3761.821788,5001,308.509466
-1495.756348,1941,358.554695
-3640.176703,5001,487.418384
-4059.647251,5001,625.186649
-3456.98235,5001,763.452744
-693.720428,1041,796.803262
-3088.243566,5001,933.211089
-2842.197384,5001,1080.155301
-3005.049865,5001,1238.776965
-1481.735231,2258,1309.088376
-647.450713,863,1334.208534
-572.619201,812,1365.964239
-824.572642,1030,1396.024606
-450.553842,684,1424.263447
-436.28526,620,1441.707859
-917.390856,1105,1473.232879
-3412.77057,3263,1581.544549
-2967.295507,5001,1751.88969
-247.578832,421,1765.169163
-786.878305,993,1796.596579
-512.641415,699,1826.308288
-838.402774,1005,1857.440957
-530.934416,707,1879.153811
-512.942758,721,1910.466203
-437.995159,597,1930.598786
-541.223765,731,1954.625865
-864.836724,1022,1995.127725
-2795.786574,5001,2170.550997
-514.130294,684,2201.287547
-420.566817,600,2221.646807
-579.863894,724,2245.554634
-682.255358,849,2295.168734
-706.237629,865,2326.299505
-544.803987,724,2363.202823
-223.119018,354,2376.618063
-585.21345,770,2404.060235
-730.137771,870,2435.337044
-332.5689,479,2460.298887
-503.977759,654,2483.62153
-373.474285,559,2502.757923
-349.471233,490,2527.436947
-279.22563,410,2540.689911
-272.20317,411,2554.698868
-665.014249,803,2582.323309
-828.994654,961,2625.317447
-364.739014,519,2642.864981
-562.223409,706,2667.003755
-758.725963,895,2705.956528
-554.488941,681,2729.605627
-645.304081,783,2765.132796
-468.821095,652,2788.893202
-690.211026,863,2818.568505
-549.540058,693,2850.238049
-4648.668252,5001,3039.378678
-948.42851,1407,3099.437081
-3747.207669,5001,3302.378495
-567.738606,756,3341.374209
-306.466093,454,3358.60386
-324.84388,457,3375.317496
-324.870807,488,3394.480541
-524.378865,698,3430.598337
-630.271601,789,3459.698756
-270.40132,396,3474.697435
-404.905737,578,3496.711828
-427.8302,601,3526.580038
-277.803711,409,3541.269014
-498.8428,699,3566.626165
-597.316001,759,3601.373014
-441.067282,617,3623.421728
-741.304915,907,3654.83408
-529.237274,696,3686.977712
-400.033918,525,3707.647701
-224.269803,344,3720.38254
-440.096271,568,3742.250858
-397.276574,546,3772.077452
-244.051609,363,3786.387774
-202.080297,311,3799.485568
-562.764966,706,3827.729446
-506.154274,631,3861.333903
-447.886498,630,3886.502622
-403.971155,581,3909.815457
-547.166453,668,3946.026401
-659.824565,814,3994.014504
-4418.9291,5001,4218.582173
-5943.168317,5001,4445.477888
-5518.395493,4328,4642.098376
-5935.460656,5001,4876.086803
-3157.494698,5001,5118.91294
-4397.25375,5001,5357.626456
-3514.530977,5001,5614.930357
-802.044075,921,5656.351697
-708.73985,842,5702.437605
-461.941542,575,5730.575381
-322.427406,467,5752.284047
-377.874876,522,5775.981566
