# {"t_start": 1590156301.2404132, "env_id": "metak-v0"} 
r,l,t
-19124.364947,5001,141.21894
-20014.667564,5001,278.899941
-12404.553159,5001,425.303705
-5830.613365,5001,568.002099
-4141.927318,4139,690.269335
-9435.363616,5001,843.921643
-28777.001651,5001,991.478617
-29574.009853,5001,1149.068793
-4820.453791,5001,1300.749238
-6250.294032,5001,1453.159526
-4927.539912,5001,1618.30405
-25382.028818,5001,1776.961624
-5602.543607,5001,1945.464789
-3834.066524,1916,2008.204037
-4312.6384,5001,2171.448876
-1192.94562,1389,2222.286952
-14593.31045,5001,2386.914684
-8345.438308,5001,2564.000836
-8438.450397,1594,2621.473875
-8606.729257,5001,2791.574297
-24898.142496,5001,2962.865208
-9552.170331,5001,3149.089364
-3522.927373,1982,3222.406712
-33701.98078,5001,3405.319087
-4822.946402,5001,3602.766876
-31199.008315,5001,3797.607852
-7862.08797,2068,3881.252718
-1300.189585,1066,3929.191745
-11017.860889,5001,4125.529339
-27737.12167,5001,4341.516436
-2202.513896,1881,4412.056816
-11137.02935,5001,4621.676093
-4823.5591,1578,4692.670572
-7080.942648,5001,4896.896765
-24332.886916,3859,5066.674342
-9469.020346,5001,5300.755326
-5685.407352,1348,5368.10631
-909.014416,925,5415.759134
-2376.562696,1508,5482.230159
-3503.21531,1293,5546.878981
-8357.549585,1468,5619.265062
-3644.674198,1400,5683.490129
-31896.959156,5001,5934.478019
-8731.657024,2096,6037.80052
-6145.828811,3880,6229.873738
-1706.528371,1159,6283.49411
-688.156887,801,6328.916239
-2983.71323,979,6376.128673
-37161.415439,5001,6648.666399
-1674.034376,1353,6720.812343
-1216.655767,1229,6801.467026
-1943.254174,986,6853.530649
-9580.444824,1786,6957.786796
-1538.811338,1202,7030.173753
-30952.099779,5001,7310.597644
-14456.589017,3758,7534.196702
-2001.550759,1481,7623.107038
-10626.449827,1711,7724.470975
-11100.27632,5001,8028.625649
-2151.820339,1781,8137.409345
-11390.140674,2056,8260.481937
-13448.958146,5001,8564.738505
-22589.672594,5001,8893.199876
-14913.543959,5001,9215.672322
-18942.201059,5001,9566.221592
-1055.13826,932,9630.107725
-1120.900943,730,9688.375516
-953.299302,923,9752.036767
-1827.504385,1145,9839.854188
-4084.277498,1336,9934.261194
-7489.058279,2225,10101.680844
-2721.781508,992,10181.805644
-6942.378155,5001,10568.704167
-8022.316686,1927,10724.388157
-7679.878186,5001,11147.265025
-1477.457836,1018,11231.340063
-8581.367928,5001,11674.145745
-4157.459518,1188,11776.922391
-528.213188,619,11832.141545
-1590.105665,1101,11936.252108
-1300.194967,1283,12058.65766
-3261.943188,1125,12162.036988
-21284.5155,5001,12668.528794
-634.453014,464,12716.092308
-2760.309902,751,12792.070975
-3552.219973,1074,12909.415118
-1036.388561,991,13011.486508
-2728.171248,1056,13129.92928
-1098.349352,661,13200.533049
-733.500533,796,13284.97739
-1861.43466,993,13398.552008
-1541.795474,877,13493.510302
-1251.787685,936,13603.147269
-2575.161528,1051,13719.103103
-6703.846569,5001,14303.449887
-9997.626345,5001,14908.502345
-7519.336075,4350,15458.97638
-9460.07376,1733,15688.422954
-1595.806732,748,15785.682216
-1066.602536,718,15887.26774
-944.367418,823,15995.44997
-5116.008869,1264,16173.429966
-1228.402848,590,16253.698256
-2829.400159,587,16334.787122
-715.932036,736,16443.74809
-6666.042835,5001,17171.612304
-6623.532238,1173,17352.07215
-1813.725368,637,17447.339986
-628.412718,557,17530.569645
-4643.191729,2559,17937.842871
-13774.284273,2409,18321.21192
-1492.324705,534,18406.21248
