# {"t_start": 1590156303.6462996, "env_id": "metak-v0"} 
r,l,t
-11493.322041,5001,138.824648
-12501.261467,5001,276.512987
-33250.574178,5001,422.913125
-6948.144553,5001,565.606541
-13479.3002,5001,718.715599
-15507.732139,5001,863.964365
-6782.693896,5001,1020.192466
-29295.291255,5001,1169.981402
-16429.667877,3932,1292.997978
-8916.5331,5001,1445.298441
-6401.610761,5001,1610.252228
-12356.872816,5001,1768.972961
-5953.120537,5001,1937.210718
-13623.545101,5001,2099.145683
-5138.264396,5001,2270.740972
-19399.181733,5001,2438.033631
-7084.871447,5001,2607.54657
-9564.702111,5001,2785.827
-5065.62864,5001,2957.296374
-7965.413606,1546,3014.717127
-8741.194465,5001,3202.534315
-2959.350016,1632,3257.808548
-22412.043381,3810,3399.892811
-1983.117748,1959,3474.000692
-7398.766796,5001,3674.463707
-2689.392615,2198,3761.647783
-4374.474489,1670,3830.082865
-5908.111936,5001,4029.149066
-10872.722873,5001,4233.07962
-7133.236131,5001,4445.152409
-5360.772842,5001,4648.4598
-1821.621635,913,4692.086569
-692.425661,830,4722.036736
-2129.443145,1532,4785.235635
-11400.748726,5001,4997.640715
-13022.513341,5001,5236.714971
-27330.752089,5001,5469.875752
-2663.931324,1242,5531.751741
-996.675653,742,5564.581655
-10318.56625,1809,5653.246423
-5568.793007,1116,5713.073377
-984.64216,1005,5757.878492
-842.624746,945,5810.290665
-22026.519817,5001,6051.587097
-12948.287843,5001,6296.505345
-4328.011235,1090,6356.791248
-4937.333412,5001,6620.119767
-2930.430065,1114,6684.277843
-7072.053906,5001,6977.099254
-641.795585,807,7028.375093
-17853.134697,1373,7099.998939
-1153.930945,1042,7163.753979
-16827.470551,2614,7310.16599
-1653.993037,1492,7399.123527
-1062.168903,938,7451.514794
-2665.88242,1278,7531.092925
-13291.93605,5001,7832.878702
-5896.347831,2486,7984.706434
-6809.433641,5001,8282.888017
-7413.052056,5001,8596.678876
-3380.664034,1775,8704.147291
-1435.590055,1520,8805.407484
-17872.894689,2420,8961.152721
-3196.75716,1914,9084.955533
-5174.721653,5001,9426.065859
-14452.566632,2738,9619.46821
-1344.98297,1170,9708.202383
-1334.928956,916,9772.155161
-12094.30672,5001,10151.466234
-1677.106029,822,10212.013326
-890.833081,791,10269.947399
-2497.169296,961,10348.268743
-4636.453925,5001,10742.332864
-1771.448321,960,10824.235874
-1452.236497,952,10900.375239
-2601.428031,1592,11036.249793
-670.283631,701,11093.487686
-11973.941168,2115,11276.39097
-4795.683268,937,11363.072188
-1136.794642,760,11425.86736
-1860.08683,978,11515.424517
-4866.413577,1971,11689.535503
-22258.481189,2982,11958.801244
-24810.88142,5001,12448.923979
-3133.930571,1788,12625.140871
-29436.02789,5001,13162.641267
-4960.2223,5001,13718.245493
-5862.625806,3929,14171.554117
-8111.468504,5001,14778.9027
-1288.091241,596,14850.604401
-874.359914,686,14933.239403
-6393.740621,808,15038.827205
-19297.421985,5001,15679.539632
-18050.823426,4979,16366.91622
-5833.470916,1069,16515.287744
-1502.445649,960,16658.252017
-7577.011771,2028,16953.931634
-19338.86029,5001,17711.41625
-4942.820969,903,17849.607153
-1144.595116,968,18007.176168
-456.899082,534,18090.334535
-9896.426886,1613,18351.141646
-18151.542177,5001,19187.997773
