# {"t_start": 1589750783.4885168, "env_id": "metak-v0"} 
r,l,t
-2348.025617,5001,113.207354
-964.11783,2161,163.762309
-2508.876073,5001,281.391321
-2120.659399,5001,409.012569
-2306.790266,5001,530.525457
-931.423627,2058,584.736563
-872.54294,1887,637.176668
-1109.381559,2412,709.36532
-2506.279592,5001,864.274087
-327.290478,1158,897.65797
-527.175367,1144,937.534847
-428.254747,928,963.864774
-630.977929,1368,1010.083266
-538.486815,1169,1050.802182
-409.330073,885,1074.979441
-484.507769,1053,1113.744813
-388.186775,840,1139.891308
-356.959926,772,1163.584569
-344.358768,745,1194.051136
-296.034598,642,1214.397163
-2521.870884,5001,1390.481765
-887.616523,2398,1473.90703
-1775.100582,3861,1610.059031
-349.764463,756,1634.246356
-330.422428,714,1656.645923
-334.364613,722,1687.270718
-373.140255,803,1712.4967
-1076.988522,2352,1797.855903
-356.483796,768,1831.58461
-315.378264,683,1854.287795
-292.009615,629,1874.686798
-230.747551,500,1890.634161
-269.713922,586,1919.000169
-381.442863,827,1946.331403
-249.251965,538,1964.973357
-396.382953,857,2002.689351
-388.312499,843,2030.558207
-1744.068255,3796,2175.948676
-338.853385,734,2201.235006
-271.526254,589,2230.179129
-286.017268,617,2250.766072
-342.79233,744,2276.028277
-475.133267,1032,2318.194796
-189.392898,407,2331.216041
-267.531812,583,2351.773771
-279.883582,606,2380.096374
-241.681341,521,2397.378964
-295.740416,635,2420.351617
-402.194537,870,2457.999369
-246.993192,532,2475.476717
-197.426284,427,2491.055687
-364.327841,786,2530.050764
-426.943318,926,2565.65894
-267.915309,576,2588.158815
-2500.251855,5001,2793.593973
-2124.230779,5001,2993.958055
-1051.254576,2280,3087.171344
-2314.038279,5001,3296.725874
-341.666076,749,3324.414702
-335.459524,725,3350.994142
-318.582975,692,3384.716076
-233.690556,504,3403.678605
-282.123157,613,3426.071783
-217.791806,466,3450.514809
-219.97385,476,3468.536018
-232.868183,506,3487.16895
-304.724251,661,3511.789979
-379.165654,826,3550.506554
-264.067753,570,3571.885534
-274.164489,593,3594.192516
-236.257994,512,3620.973943
-216.68669,470,3638.8404
-320.927953,701,3665.504658
-258.338574,561,3685.741946
-342.967539,742,3720.025906
-217.830115,465,3737.39568
-359.491941,778,3765.64198
-393.170702,850,3804.545574
-335.234423,726,3830.16328
-338.867215,735,3865.161402
-316.254157,688,3889.734663
-977.132994,2168,3976.546566
-243.871177,528,3995.987773
-330.645113,717,4031.366632
-238.262216,522,4051.501643
-240.606364,522,4071.22798
-185.74972,399,4085.968891
-245.79779,534,4105.504768
-396.83933,862,4146.494163
-183.015786,396,4161.435724
-223.363529,485,4179.814513
-146.201318,318,4192.271704
-304.616101,664,4225.984776
-431.145676,939,4262.601946
-184.561949,402,4278.60864
-279.764465,601,4309.186254
-313.22982,677,4335.462544
-297.112633,651,4361.043491
-166.028058,360,4383.719436
-344.661042,755,4413.101518
-252.608825,544,4435.54559
-165.37759,356,4450.660917
-359.506945,781,4490.934735
-479.976852,1050,4533.681006
-201.491733,436,4551.949969
-171.713845,372,4575.109273
-311.742234,680,4602.549499
-211.511127,457,4621.278506
-307.671572,665,4656.79763
-356.009883,774,4689.338739
-247.693081,532,4712.118837
-325.476107,708,4748.354593
-2362.308368,5001,4974.247683
-1976.914353,4447,5174.677484
-2275.603911,4992,5410.670028
-1528.901832,3340,5562.685427
