# {"t_start": 1589750783.2700186, "env_id": "metak-v0"} 
r,l,t
-2375.085172,5001,113.418588
-2445.122638,5001,229.791214
-2364.732837,5001,355.576106
-2079.17105,5001,475.83699
-733.671245,1628,516.459683
-2316.090411,5001,659.960744
-1463.979539,3223,751.345769
-734.710667,1597,798.86363
-1292.741271,2805,886.395513
-1917.357907,4175,1019.435057
-1081.306865,2350,1092.320163
-2429.067761,5001,1271.165689
-2137.903007,4904,1436.479456
-2301.533657,5001,1616.969086
-417.509626,913,1645.754375
-352.868088,767,1676.907432
-542.711955,1180,1714.951926
-189.578844,410,1729.153883
-290.526031,628,1757.416689
-516.866209,1120,1793.953848
-327.642228,710,1818.077179
-392.168676,845,1853.816172
-311.648509,675,1875.805194
-336.647747,731,1907.753295
-273.805874,594,1927.582063
-241.167975,520,1945.188811
-450.953188,978,1987.028229
-2434.38842,5001,2172.685637
-2171.137169,5001,2358.51839
-374.628995,822,2393.943972
-312.393087,678,2417.963285
-196.320192,426,2432.590846
-262.217015,562,2459.728089
-250.0659,537,2477.844621
-249.173462,538,2496.870849
-2402.242202,5001,2711.592493
-333.722878,912,2743.889309
-504.669686,1093,2790.135916
-363.137845,791,2817.372709
-193.761986,419,2833.097594
-288.51591,627,2863.086645
-306.42421,665,2887.258893
-324.907573,701,2913.681081
-239.064792,518,2933.877058
-284.900058,621,2964.792034
-196.316046,424,2980.770161
-186.733012,403,2996.553888
-295.755699,640,3021.093861
-297.392153,642,3052.402204
-398.892266,866,3084.740063
-430.729143,936,3127.930595
-234.569677,510,3147.28053
-2309.119086,5001,3347.672053
-283.198883,635,3379.136124
-431.267871,937,3413.904807
-270.596464,585,3435.350823
-345.488843,752,3470.511297
-217.010417,470,3487.918776
-506.431818,1094,3535.886017
-284.451071,617,3559.315643
-282.930253,609,3582.609615
-372.027492,811,3620.466621
-246.545962,534,3641.517691
-412.84654,899,3675.398841
-349.071893,758,3710.165333
-289.778139,627,3732.564082
-302.127295,655,3756.474681
-236.962556,512,3774.836756
-437.686659,955,3816.833487
-338.647916,738,3843.970886
-260.895214,568,3872.067857
-2257.879095,5001,4073.704231
-2390.053453,5001,4281.048851
-285.156918,814,4319.605083
-226.66202,490,4339.165907
-364.352255,796,4378.180213
-394.188992,856,4411.771008
-304.615689,665,4440.120249
-470.756275,1026,4490.024832
-266.889571,575,4513.618812
-185.387609,396,4529.572613
-192.553014,419,4547.059106
-169.155846,369,4570.549497
-248.975932,544,4592.270701
-225.475009,484,4612.699013
-250.532758,548,4635.031009
-279.989581,612,4667.996898
-413.485101,904,4706.333357
-212.674131,467,4726.305903
-159.542437,344,4747.042528
-221.362887,476,4768.056541
-124.135186,269,4779.243536
-244.490171,532,4800.717568
-217.098226,473,4821.196482
-261.093868,568,4852.228859
-206.411009,446,4870.560051
-2105.591578,4603,5079.857522
-161.641639,349,5094.671316
-246.674039,530,5124.130246
-201.185084,437,5141.489513
-290.378073,638,5167.91025
-273.51858,595,5192.879066
-250.133457,543,5224.192152
-317.285895,686,5253.157319
-332.950026,726,5284.423804
-417.114074,912,5330.302624
-295.87988,646,5358.256147
-290.420701,638,5386.847882
-344.674882,751,5425.987908
-326.912725,715,5455.858101
-226.552289,487,5476.845603
-329.716245,723,5515.819517
-298.553357,649,5544.008222
-273.146306,597,5570.319024
-280.022466,604,5604.085374
-372.757193,813,5642.022974
-281.496985,613,5668.920993
-336.557185,731,5708.967906
-273.467494,591,5735.267733
-183.60837,401,5753.773135
-273.229906,596,5779.724575
