# {"t_start": 1589750783.6583483, "env_id": "metak-v0"} 
r,l,t
-2418.752167,5001,113.036808
-2599.036567,5001,229.401357
-2034.43909,5001,355.193212
-2226.072988,5001,475.451267
-2314.433514,5001,610.474971
-2388.153719,5001,755.111036
-2199.928879,5001,914.9016
-379.371878,851,938.340266
-304.768782,662,957.349991
-290.369535,631,982.728345
-459.703409,997,1010.880116
-506.391059,1097,1049.408982
-319.213094,689,1068.400346
-420.060109,906,1093.505035
-301.611913,653,1121.587833
-404.900555,880,1148.877039
-390.700379,846,1182.776436
-392.376088,850,1209.138657
-415.281082,902,1237.36978
-474.416478,1030,1278.049658
-454.316327,983,1307.621265
-538.415019,1166,1350.815207
-412.158153,890,1377.109782
-705.500755,1537,1432.225197
-314.619349,677,1462.341269
-298.254113,645,1482.770889
-1642.621501,3605,1610.664691
-1175.630599,2552,1698.584668
-270.190123,584,1717.614623
-352.696129,762,1750.700843
-2295.854218,5001,1931.720031
-632.694182,1413,1988.340288
-285.735474,620,2009.646292
-999.704777,2175,2090.607964
-868.441684,1902,2163.925476
-281.405923,615,2185.046909
-166.493261,357,2196.855104
-363.935082,789,2232.963227
-294.87747,637,2254.369835
-313.446997,675,2277.141999
-340.458801,737,2309.713709
-388.072647,837,2337.809087
-326.657906,702,2369.13957
-386.847871,838,2397.557248
-292.278677,633,2420.376915
-277.640817,599,2448.025868
-323.660036,700,2472.194449
-223.320057,486,2489.369705
-306.350375,661,2514.0091
-365.113416,792,2554.766273
-246.414792,533,2573.847948
-334.942708,721,2602.540584
-209.792822,453,2628.333164
-173.335526,376,2643.486717
-412.099276,892,2676.289532
-202.576967,436,2699.831473
-2272.416214,5001,2893.065482
-274.063887,601,2915.249736
-714.634002,1553,2981.605267
-412.581764,894,3016.38298
-418.54297,907,3057.256821
-336.725944,731,3085.248496
-313.538576,674,3117.960968
-210.064627,456,3135.332029
-253.642337,549,3156.707259
-215.203527,464,3173.9716
-177.822073,383,3188.819251
-294.828119,637,3219.252275
-272.479809,589,3241.247676
-316.668767,686,3265.968298
-324.479508,703,3299.949403
-240.967628,520,3318.962056
-339.824167,739,3345.934538
-271.805621,594,3376.138375
-265.59302,579,3397.930853
-293.228911,637,3421.210317
-423.628416,918,3462.76787
-331.398484,720,3489.522542
-156.430842,341,3501.509234
-330.970934,723,3535.960259
-305.20436,662,3561.216599
-238.426188,511,3580.30059
-255.468338,554,3601.78307
-217.959912,471,3626.682774
-405.414545,882,3660.682765
-305.533836,658,3683.893138
-382.263973,831,3722.140765
-312.99811,678,3746.5334
-967.067036,2116,3830.896253
-1714.085185,3710,3982.127947
-237.747045,516,4000.668093
-242.287217,525,4021.09502
-372.490668,805,4059.954986
-1079.16146,2354,4156.24272
-221.829476,482,4174.59001
-393.781199,854,4215.898751
-332.512788,725,4243.704141
-242.091035,521,4264.578687
-292.376683,634,4296.440703
-265.020871,572,4318.385398
-258.051006,560,4340.31567
-257.881276,558,4362.124418
-221.810625,481,4389.560271
-381.339321,829,4423.279342
-242.420113,525,4444.655198
-297.205931,642,4478.542822
-174.606519,374,4494.253797
-277.25455,602,4518.941982
-381.439992,837,4561.371562
-291.896832,639,4586.731008
-223.822031,483,4607.242331
-177.862111,386,4622.86665
-355.246958,772,4662.745581
-138.939963,302,4675.482946
-2551.909846,5001,4900.643732
-394.943359,1426,4967.986858
-166.482066,360,4984.477026
-305.2745,666,5012.065249
-207.966255,449,5038.80211
-265.026593,578,5062.737389
-269.942907,589,5086.851242
-235.866107,508,5107.718919
-324.358572,715,5144.595931
-311.427356,680,5172.888821
-141.111137,305,5185.810753
-158.257388,337,5200.44459
-318.812546,690,5236.887376
-298.948867,648,5263.978967
-353.192058,765,5296.514482
-219.467997,475,5324.776068
-239.483412,518,5346.760172
-229.407426,494,5368.395042
-301.949366,654,5404.563215
-177.444452,387,5420.998336
-174.669201,381,5436.873152
-395.034805,862,5473.696559
-260.493678,561,5505.132956
-318.551202,694,5535.58699
-310.840998,682,5566.107124
-253.536382,551,5597.703586
-366.288408,800,5633.344256
-218.289279,479,5656.224408
-194.740983,429,5674.46034
-252.556187,552,5706.478932
-334.809404,731,5739.362527
-294.841588,643,5768.255836
