# {"t_start": 1589750783.8477266, "env_id": "metak-v0"} 
r,l,t
-2348.801666,5001,112.852948
-996.533582,2222,165.022146
-2402.641374,5001,282.550174
-2264.582294,5001,410.174441
-2265.147889,5001,531.713342
-808.402124,1795,579.868058
-2402.277471,5001,729.822286
-1921.845999,4386,860.22379
-530.482048,1148,893.494691
-364.856984,789,924.52356
-904.302035,1973,987.456071
-551.167868,1196,1021.35457
-2303.746146,5001,1191.449211
-217.47815,496,1206.708729
-386.284593,836,1233.950068
-866.297967,1883,1299.533717
-546.872284,1193,1343.680982
-471.045713,1019,1374.069284
-345.688515,751,1404.520391
-2379.038701,5001,1577.237949
-2355.39873,5001,1760.121641
-2264.840798,5001,1941.976682
-1090.071708,2497,2034.029245
-362.476501,782,2068.254748
-458.244105,991,2102.637481
-352.941902,767,2136.907962
-313.799316,680,2160.263251
-326.41289,708,2184.601938
-440.127109,952,2225.917725
-231.912988,501,2242.584931
-226.808469,489,2259.303427
-235.138562,504,2276.343248
-308.447349,662,2306.172062
-357.773944,777,2331.636981
-315.323087,682,2355.649964
-308.289716,671,2385.708444
-254.111612,549,2405.632862
-230.001438,497,2422.597883
-285.629421,614,2450.765531
-297.514288,647,2473.084245
-308.170333,668,2496.726374
-396.885944,854,2539.477054
-344.89849,745,2567.648676
-271.914061,585,2590.465243
-301.026007,649,2624.029337
-311.447698,673,2651.439098
-306.655201,663,2674.593875
-384.332819,832,2711.428901
-366.694763,793,2739.347068
-281.872407,609,2760.188318
-363.771561,789,2795.943658
-364.65004,787,2824.045322
-278.191873,603,2845.65426
-467.650964,1015,2890.403456
-1071.455829,2333,2985.96975
-349.171213,760,3015.795659
-285.977069,626,3046.911304
-299.610226,648,3070.841712
-262.041013,564,3091.499817
-234.626411,510,3119.069288
-529.784253,1150,3162.641918
-231.578393,501,3182.179058
-330.355786,716,3215.925486
-359.31564,780,3244.430102
-338.125801,732,3271.263426
-402.53815,870,3310.439563
-250.672522,540,3330.608947
-276.375039,598,3353.132136
-267.610068,581,3382.554687
-289.173303,627,3405.859972
-263.04969,570,3426.83221
-241.17517,523,3453.181811
-1929.906758,4179,3625.139288
-318.506535,693,3651.550374
-420.922912,916,3685.033402
-381.940995,832,3723.51418
-307.763748,671,3747.524082
-240.791365,524,3766.802763
-391.746214,852,3805.405768
-396.205069,866,3836.674623
-402.875009,875,3875.801054
-360.234518,778,3904.487707
-367.05296,798,3933.518149
-374.577032,815,3970.946944
-460.21621,999,4008.573331
-259.349433,558,4037.043512
-315.544413,682,4063.672609
-1047.165542,2288,4157.368712
-184.24247,402,4171.953904
-246.192502,529,4193.342892
-284.88042,623,4225.20489
-224.052507,485,4243.975407
-317.268581,683,4271.137179
-186.321685,405,4294.218504
-263.420924,567,4315.853572
-305.030809,661,4341.500236
-326.937593,709,4377.422128
-388.753934,844,4410.499253
-481.860609,1039,4454.343293
-327.396771,709,4491.370362
-317.430044,689,4519.638752
-364.914307,793,4552.280973
-334.346643,729,4589.497344
-285.8218,624,4615.070436
-261.903417,565,4639.200357
-243.89622,530,4668.892788
-375.092866,811,4702.940665
-401.156688,870,4746.029609
-333.81118,729,4777.4779
-305.169875,666,4805.343092
-229.512671,499,4826.02039
-192.862726,418,4850.937098
-346.164186,752,4882.842015
-267.181648,581,4907.682515
-261.12865,572,4939.640956
-408.925064,895,4977.359938
-318.4525,692,5006.438667
-398.855027,871,5050.555549
-245.469891,533,5072.247711
-388.553937,845,5107.232283
-296.415176,644,5141.2957
-368.007629,806,5174.948564
-164.968916,356,5189.488519
-324.975838,707,5228.09074
-244.722904,528,5249.966753
-299.546014,656,5278.400601
-292.639249,634,5312.746637
-327.936196,720,5343.102945
-308.634135,673,5372.309906
-333.769515,727,5411.527806
-244.623659,530,5433.893452
-306.062731,669,5462.039247
-642.153199,1393,5529.894286
-284.322972,615,5557.511675
-243.167283,522,5580.390245
-416.28234,912,5628.062004
-366.804249,805,5664.98309
-385.214718,840,5710.063524
-428.650167,938,5752.206882
-238.276682,514,5774.986459
