# {"t_start": 1589750782.0813334, "env_id": "metak-v0"} 
r,l,t
-2412.089991,5001,114.606662
-2280.028097,5001,230.97954
-565.322432,1368,265.816025
-2540.218322,5001,384.306655
-2288.688096,5001,511.112026
-2420.557207,5001,645.819479
-869.700507,2588,730.058723
-1111.136124,2408,797.497918
-460.262316,996,825.058267
-517.228344,1124,864.680685
-320.428475,693,885.445667
-580.247591,1263,929.364399
-547.133543,1189,962.272957
-365.578606,792,992.424363
-473.56924,1024,1021.071025
-316.964494,686,1047.542023
-257.000189,556,1062.992222
-449.159823,974,1090.406196
-406.08519,881,1124.988264
-459.928026,996,1155.476513
-392.445857,850,1189.569444
-509.953836,1101,1224.742269
-408.834895,885,1260.610379
-411.072766,890,1287.315276
-290.055331,627,1306.563105
-449.513467,974,1343.719085
-297.019599,640,1363.007075
-427.391653,923,1398.718366
-331.81367,718,1420.231256
-442.809664,961,1451.813573
-810.419385,1766,1514.403542
-706.556225,1541,1570.25219
-188.477743,409,1583.131929
-225.365058,489,1606.415728
-318.89711,692,1627.970454
-374.375469,811,1654.392513
-323.994497,703,1683.355779
-313.273813,679,1705.381103
-1606.306592,3459,1835.052109
-1207.182545,2634,1929.775498
-361.631153,780,1956.639225
-264.125111,571,1983.932045
-281.433271,609,2005.307658
-288.008349,621,2026.266718
-344.378056,744,2058.147705
-248.700418,538,2076.556429
-349.169898,758,2102.192708
-206.161802,445,2118.021641
-191.54691,416,2140.020004
-354.878354,770,2166.957992
-309.370839,671,2190.091167
-347.15735,754,2223.775236
-372.910447,807,2251.168032
-422.746819,916,2282.488028
-744.809078,1625,2344.579891
-433.561912,940,2384.117494
-350.896104,760,2410.954341
-333.137439,721,2435.863145
-422.350478,918,2474.586085
-249.340096,540,2493.527604
-383.47918,830,2534.909414
-1146.16321,2509,2639.875871
-204.635692,441,2657.896728
-680.579078,1468,2718.336555
-242.408367,522,2735.8618
-293.110615,632,2757.32429
-240.588202,519,2783.510972
-360.771287,782,2811.085131
-341.523039,737,2838.003751
-279.700934,605,2867.345982
-271.150919,582,2888.077688
-333.677451,723,2915.630302
-267.909158,574,2945.219461
-307.871624,665,2970.361389
-356.876225,774,3000.065904
-238.436224,514,3019.39305
-263.296996,572,3048.411062
-228.007191,492,3066.826206
-242.754082,530,3086.952801
-327.357336,709,3121.102382
-324.452145,707,3148.080124
-366.039003,796,3178.520145
-323.863662,701,3211.478913
-324.953093,701,3238.056628
-919.693782,2008,3318.879102
-181.391277,393,3333.477544
-283.422381,611,3356.060625
-314.692302,678,3389.003581
-303.650977,661,3413.817785
-295.023997,639,3437.270362
-293.202268,638,3468.539321
-2294.723628,5001,3671.948299
-2292.525991,5001,3875.511287
-1135.381412,2499,3974.765868
-381.386143,826,4005.083989
-525.026343,1147,4057.303166
-380.304464,823,4088.061569
-260.169524,564,4108.722434
-2323.154189,5001,4324.986097
-1704.241231,3797,4494.286046
-347.940009,752,4524.667674
-297.536105,644,4551.24418
-388.90814,846,4594.015818
-203.081556,443,4612.631884
-186.113366,403,4628.711753
-246.605317,537,4659.073834
-199.672713,429,4676.764424
-162.622685,355,4692.184944
-243.239686,523,4714.293989
-262.365029,570,4737.023441
-243.572511,532,4767.968354
-2418.376495,5001,4993.78739
-2344.103132,5001,5224.545511
-2176.477011,5001,5453.887364
-2289.318202,5001,5697.300193
