# {"t_start": 1589750777.700775, "env_id": "metak-v0"} 
r,l,t
-2396.471678,5001,118.972917
-2341.984084,5001,235.339931
-2403.869885,5001,361.131109
-2126.25785,5001,481.392664
-715.954042,1624,521.730835
-2317.31702,5001,665.339744
-2398.294002,5001,809.313615
-2222.710661,5001,966.483757
-2302.887199,5001,1132.158702
-293.949053,659,1152.441997
-2510.998365,5001,1330.775048
-2092.975638,5001,1501.112349
-409.604571,911,1529.50243
-600.052593,1304,1577.414768
-297.899879,645,1597.629554
-314.664607,682,1626.983671
-325.638259,709,1649.413574
-436.585708,942,1686.437992
-301.78446,650,1707.34951
-228.330028,492,1722.993265
-358.326201,775,1756.771114
-266.073634,579,1775.862634
-404.300328,877,1804.596145
-449.891851,977,1845.143391
-339.754278,734,1869.268929
-386.273033,833,1896.086024
-387.930651,842,1932.174126
-253.346422,549,1951.1078
-284.215637,614,1972.392559
-192.607765,412,1994.585371
-338.421531,732,2019.185652
-357.92441,777,2044.661545
-159.031704,345,2064.388329
-309.315781,668,2087.742901
-374.227617,811,2115.728308
-337.079049,728,2148.14837
-233.858292,506,2165.33134
-398.41845,863,2195.557486
-235.185196,510,2220.45475
-447.012905,970,2253.989851
-515.875688,1121,2299.328477
-302.130993,654,2321.626044
-395.537834,855,2350.535641
-327.787095,709,2382.259053
-425.0589,919,2414.221933
-244.973298,527,2432.70296
-1507.952406,3319,2570.183983
-246.283761,532,2591.043777
-267.330256,575,2622.440004
-298.463692,645,2646.176203
-202.71118,438,2663.622647
-273.984289,598,2684.713632
-243.066613,526,2711.323075
-409.705935,887,2741.988439
-313.659703,679,2765.222936
-263.501874,574,2794.324812
-286.627082,618,2815.652194
-280.824387,606,2837.627035
-376.12876,814,2874.864956
-409.273222,886,2908.577353
-285.271664,621,2930.994904
-306.933208,661,2963.885034
-362.487556,786,2992.772255
-360.216611,781,3023.21874
-330.488369,715,3057.625695
-345.875541,752,3085.605526
-417.025078,906,3127.435757
-259.325586,560,3148.811871
-396.760544,857,3181.649541
-277.310504,598,3210.912328
-210.558426,459,3227.8706
-993.392311,2162,3314.984759
-249.491968,541,3335.175996
-286.762992,619,3357.94928
-180.023427,392,3380.379127
-339.937345,741,3408.419173
-239.383998,519,3427.330704
-406.251231,880,3467.385956
-531.182953,1155,3509.561865
-299.306313,644,3541.186218
-164.526506,355,3555.126679
-326.999383,711,3581.69254
-258.520405,561,3602.641138
-196.796727,426,3626.461212
-363.282397,792,3656.448037
-195.284302,421,3672.716961
-1545.31781,3351,3809.757814
-2307.231532,5001,4007.162922
-935.482248,2033,4092.715251
-2430.697553,5001,4307.501369
-92.220635,458,4325.370165
-292.821359,635,4350.823133
-220.290716,481,4369.157479
-232.871455,505,4397.320214
-377.790543,820,4430.803815
-318.090889,691,4459.217964
-170.819301,372,4481.43713
-325.751912,704,4511.356836
-226.244386,491,4530.643782
-285.216006,626,4557.195247
-285.296912,616,4589.396518
-197.362955,425,4607.512351
-296.162162,640,4633.874304
-376.613294,818,4675.928813
-2255.108367,4887,4895.19383
-305.823418,664,4924.164095
-1303.452478,2817,5058.25709
-192.92398,420,5075.18029
-153.894666,336,5089.553777
-332.8326,724,5126.924793
-326.048441,713,5155.987092
-306.479827,670,5184.184753
-229.404566,493,5204.837138
-938.080639,2058,5299.155025
-363.399922,792,5341.394557
-367.581381,802,5375.736726
-411.006915,895,5421.986275
-314.252112,681,5450.917915
-240.467576,518,5473.148311
-152.746113,331,5487.038302
-349.479436,767,5527.891173
-326.013753,713,5559.42923
-442.645422,962,5608.9632
-370.768083,815,5646.852862
-303.643802,666,5676.015879
-156.908418,345,5692.081917
-607.03662,1320,5758.5312
-215.031254,465,5778.950974
