# {"t_start": 1589750783.4623334, "env_id": "metak-v0"} 
r,l,t
-2439.948837,5001,113.226559
-1022.504642,2482,170.886266
-864.243947,1870,216.662604
-2392.872593,5001,342.458428
-2239.055454,5001,462.618567
-2289.34058,5001,587.947712
-692.045913,1532,631.466702
-574.791253,1244,672.923318
-544.146386,1176,703.97188
-549.38031,1188,742.078935
-518.254158,1125,770.136484
-524.701817,1139,807.346398
-1389.631005,3019,900.28073
-433.671125,944,934.989001
-1680.832323,3661,1053.426354
-402.491332,873,1077.639435
-417.219041,899,1111.018937
-336.993907,728,1133.904161
-2302.227339,5001,1304.754922
-363.619384,798,1336.30532
-2431.499027,5001,1507.503731
-2194.163811,5001,1687.533265
-500.598265,1100,1722.605072
-189.083416,410,1736.34499
-275.860142,592,1763.551649
-277.821794,603,1782.676438
-393.001192,849,1811.748033
-353.897779,763,1844.831762
-354.437113,768,1870.031835
-244.599278,531,1887.393866
-437.960391,947,1926.585582
-828.047819,1793,1996.901854
-264.154735,568,2015.466872
-465.480593,1009,2056.529829
-319.409221,690,2080.852654
-331.395983,718,2105.250487
-1170.318242,2542,2200.381951
-240.66628,520,2226.827128
-514.387113,1116,2264.12865
-271.022259,589,2291.304186
-307.228045,664,2314.223291
-304.282392,664,2336.653065
-300.975101,653,2358.788971
-314.743986,684,2389.471266
-387.678764,839,2419.265535
-928.837965,2000,2495.557566
-187.039076,404,2511.170998
-360.967517,779,2551.156352
-220.726415,479,2569.278001
-436.813428,944,2605.859001
-267.064716,578,2636.100589
-247.954001,534,2657.550021
-827.330067,1798,2729.359051
-271.913451,589,2749.545391
-257.282598,559,2768.528359
-1713.280192,3775,2922.055283
-156.851837,339,2934.395595
-260.034678,563,2963.178252
-2449.945788,5001,3167.142328
-2159.725483,5001,3375.477741
-2329.183351,5001,3576.483671
-2337.154311,5001,3784.15287
-930.386759,2172,3870.469784
-204.179958,439,3886.536166
-509.575876,1109,3927.748657
-421.742297,910,3968.261094
-190.349264,412,3983.249645
-259.959512,559,4003.910444
-371.798796,807,4043.096765
-406.501375,883,4076.954628
-177.048222,382,4090.729842
-308.268842,667,4123.131371
-380.846426,828,4154.723244
-239.376015,515,4174.30747
-348.086214,756,4211.702727
-305.083766,660,4237.240424
-205.11681,440,4254.203537
-265.269065,575,4277.054665
-242.629938,528,4304.763427
-270.729029,587,4327.238414
-1561.641198,3373,4479.14582
-398.757521,868,4514.917587
-334.822473,723,4545.074825
-246.745028,531,4574.646074
-280.804775,611,4599.429389
-284.575907,619,4624.876314
-322.89151,701,4661.883791
-294.053362,641,4688.649782
-285.675835,624,4715.325657
-273.876932,591,4746.412012
-173.658026,376,4763.121877
-381.53039,830,4797.5019
-291.236573,628,4824.205532
-369.465591,806,4864.837354
-277.572621,600,4890.256743
-293.659056,639,4917.63484
-373.785676,815,4959.786686
-172.829638,378,4976.031753
-2327.131284,5001,5199.559083
-366.314019,868,5244.179245
-311.070099,680,5273.107285
-274.02932,594,5297.567863
-205.646676,444,5324.530733
-270.356357,591,5349.836455
-267.519617,585,5375.149047
-397.639453,869,5420.344753
-274.564769,592,5445.427022
-255.22,550,5468.964823
-258.40542,562,5500.483331
-206.216401,451,5520.090016
-192.73657,417,5538.339299
-330.813241,722,5570.132097
-372.566188,811,5613.654212
-375.887404,822,5650.911347
-326.721512,709,5683.284667
-430.859641,942,5731.74845
-268.076483,589,5759.325987
